timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.309,36.39,22.37,1016.75,313074,561.62,3677,19,19,5,-1.020,-0.941,9.767,29.250,-13.200,-16.698
1.780,36.40,22.30,1016.75,49693,561.62,3677,19,19,5,-1.059,-0.902,9.728,28.350,-12.450,-18.634
3.249,36.41,22.24,1016.75,60670,561.62,3677,19,19,5,-1.059,-0.902,9.650,28.500,-12.600,-17.908
4.716,36.41,22.17,1016.75,68733,561.62,3677,19,19,5,-0.981,-0.902,9.689,28.200,-12.900,-17.908
6.188,36.41,22.13,1016.75,74904,561.62,3677,19,19,5,-1.020,-0.902,9.728,28.350,-12.900,-17.908
7.668,36.40,22.09,1016.75,79339,561.62,3677,19,19,5,-1.098,-0.902,9.728,28.500,-12.750,-17.908
9.148,36.39,22.07,1016.74,82445,561.62,3677,19,19,5,-1.059,-1.020,9.728,28.650,-12.900,-17.908
10.631,36.37,22.05,1016.74,85639,561.62,3677,19,19,5,-1.098,-0.863,9.728,28.650,-12.600,-18.150
12.115,36.35,22.05,1016.75,87938,561.62,3677,19,19,5,-1.020,-0.941,9.689,28.500,-12.300,-17.666
13.594,36.32,22.07,1016.74,89722,561.62,3677,19,19,5,-1.020,-1.020,9.689,28.200,-12.600,-18.150
15.074,36.29,22.06,1016.74,91486,561.62,3677,19,19,5,-1.020,-1.020,9.728,28.500,-12.450,-18.634
16.566,36.27,22.09,1016.74,93026,561.62,3677,19,19,5,-1.059,-0.981,9.728,28.950,-12.600,-17.424
18.048,36.25,22.10,1016.73,97613,561.62,3677,19,19,5,-1.059,-0.941,9.767,28.650,-12.300,-17.908
19.521,36.25,22.14,1016.73,98813,561.62,3677,19,19,5,-0.981,-0.863,9.767,28.800,-12.300,-17.666
21.004,36.25,22.14,1016.73,100099,561.62,3677,19,19,5,-1.020,-0.981,9.728,29.250,-12.750,-18.150
22.483,36.26,22.14,1016.74,101477,561.62,3677,19,19,5,-1.059,-0.981,9.728,28.650,-13.350,-18.634
23.956,36.28,22.12,1016.74,102122,561.62,3677,19,19,5,-0.981,-0.902,9.728,28.650,-12.600,-17.908
25.425,36.29,22.11,1016.74,104228,561.62,3677,19,19,5,-0.981,-0.981,9.728,28.800,-12.450,-18.392
26.892,36.30,22.10,1016.74,104474,561.62,3677,19,19,5,-0.981,-0.981,9.767,28.650,-12.600,-17.908
28.364,36.32,22.08,1016.74,105660,561.62,3677,19,19,5,-1.020,-0.902,9.650,28.350,-12.750,-18.150
29.845,36.33,22.08,1016.75,106487,561.62,3677,19,19,5,-1.098,-0.902,9.689,28.800,-12.900,-17.908
31.324,36.35,22.07,1016.75,107457,561.62,3677,19,19,5,-1.059,-0.941,9.689,28.500,-12.450,-18.392
