timestamp_seconds,raw
0.220,"1217.068,""cm"",204.4"
0.222,"{""UnknownCommand"":"".""}"
0.224,"{""UnknownCommand"":""9""}"
0.226,"{""UnknownCommand"":"",""}"
0.227,"{""UnknownCommand"":""""""}"
0.229,"{""UnknownCommand"":""c""}"
0.231,"{""FMCWSampleCmd"":""illegal value: """"}"
0.232,"{""UnknownCommand"":"",""}"
0.240,"1320.986,""cmps"",6.1"
0.251,"1321.045,""cm"",195.9"
0.254,"{""SpeedOutputFeature"":""D""}"
5.020,"1325.789,""cmps"",36.4"
5.030,"1325.848,""cm"",195.9"
5.325,"1326.095,""cmps"",-24.3"
5.335,"1326.154,""cm"",289.6"
5.416,"1326.187,""cmps"",-30.3"
5.427,"1326.246,""cm"",111.0"
5.509,"1326.279,""cmps"",-54.6"
5.519,"1326.338,""cm"",111.1"
5.606,"1326.371,""cmps"",-57.6"
5.618,"1326.430,""cm"",119.2"
5.692,"1326.463,""cmps"",-39.4"
5.704,"1326.522,""cm"",111.3"
5.784,"1326.555,""cmps"",-54.6"
5.795,"1326.614,""cm"",119.3"
5.877,"1326.647,""cmps"",-54.6"
5.887,"1326.706,""cm"",153.3"
5.969,"1326.739,""cmps"",-54.6"
5.983,"1326.798,""cm"",170.3"
6.060,"1326.831,""cmps"",-66.7"
6.072,"1326.890,""cm"",195.9"
6.152,"1326.923,""cmps"",-42.5"
6.164,"1326.982,""cm"",221.5"
6.244,"1327.015,""cmps"",-54.6"
6.255,"1327.074,""cm"",221.4"
6.337,"1327.107,""cmps"",-57.6"
6.347,"1327.166,""cm"",204.4"
6.428,"1327.199,""cmps"",6.1"
6.439,"1327.258,""cm"",195.9"
6.520,"1327.290,""cmps"",-27.3"
6.531,"1327.349,""cm"",204.4"
7.179,"1327.950,""cmps"",24.3"
7.190,"1328.009,""cm"",212.9"
7.271,"1328.042,""cmps"",39.4"
7.281,"1328.101,""cm"",212.9"
7.363,"1328.134,""cmps"",72.8"
7.374,"1328.193,""cm"",238.5"
