timestamp_seconds,voltage
0.039,1.3903
0.050,1.2839
0.100,1.0645
0.150,1.2419
0.200,1.1516
0.250,1.1968
0.300,1.3774
0.350,1.5935
0.401,1.4581
0.471,1.5774
0.501,1.0290
0.550,1.3484
0.600,1.3613
0.650,1.1839
0.700,1.2387
0.750,1.1742
0.800,1.3290
0.850,1.3129
0.900,1.5194
0.950,1.3935
1.000,1.1613
1.050,1.1903
1.100,1.2581
1.150,1.1935
1.200,1.3161
1.250,1.2129
1.300,1.2806
1.350,1.3806
1.400,0.9968
1.450,1.3516
1.500,1.0581
1.550,1.1452
1.600,1.0742
1.650,1.2161
1.700,1.2258
1.750,1.2323
1.800,1.5290
1.850,1.1677
1.900,1.3903
1.950,1.2032
2.000,1.3613
2.050,1.1194
2.100,1.3806
2.150,1.1484
2.200,1.2806
2.250,1.1129
2.300,1.1548
2.350,1.4097
2.400,1.2774
2.450,1.3097
2.500,1.2419
2.550,1.1032
2.600,1.0839
2.650,1.3581
2.700,0.8742
2.750,1.2871
2.800,1.1290
2.850,1.1677
2.900,1.3903
2.950,1.1871
3.000,1.0774
3.050,1.3452
3.100,1.2484
3.150,1.2484
3.200,1.4355
3.250,1.1806
3.300,1.2839
3.350,1.2839
3.400,1.4387
3.450,0.9613
3.500,1.2613
3.550,1.4452
3.600,1.4097
3.650,1.3000
3.700,1.0871
3.750,1.0839
3.800,1.2774
3.850,1.3710
3.900,1.3452
3.950,1.2258
4.000,1.2258
4.050,1.3355
4.100,1.2194
4.150,1.1194
4.200,1.4129
4.250,1.1645
4.300,1.3677
4.350,1.1161
4.400,1.2774
4.450,1.2742
4.500,1.1839
4.550,1.2516
4.600,1.3968
4.650,1.1935
4.700,1.1452
4.750,1.1548
4.800,1.4516
4.850,1.1129
4.900,1.1226
4.950,1.2419
5.000,1.3516
5.050,1.3097
5.100,1.1452
5.150,1.3129
5.200,1.2806
5.250,1.3581
5.300,1.4710
5.350,1.3516
5.400,1.2129
5.450,1.0419
5.500,1.3194
5.550,1.0581
5.603,1.2645
5.650,1.2484
5.700,0.9774
5.750,1.0968
5.800,1.1194
5.850,1.0839
5.900,1.1645
5.950,1.2548
6.000,1.5226
6.055,1.2516
6.100,0.9710
6.150,1.2419
6.200,1.5806
6.250,1.4226
6.300,1.2677
6.350,1.4065
6.400,1.2645
6.450,1.1871
6.500,1.2419
6.550,1.1323
6.600,1.1742
6.650,1.2290
6.700,0.9774
6.751,1.4806
6.800,1.2710
6.850,1.1871
6.900,1.2161
6.950,1.1613
7.000,1.1903
7.050,1.2387
7.100,1.2903
7.150,1.7355
7.200,1.1355
7.250,1.2387
7.300,1.3000
7.350,1.2290
7.400,1.2065
7.450,1.2097
7.500,1.2065
7.550,1.2323
7.600,0.7806
7.650,1.3226
7.700,1.1742
7.750,1.1871
7.800,1.2484
7.850,1.2194
7.900,1.2484
7.950,1.2194
8.000,1.2226
8.050,1.1161
8.100,1.3323
8.150,1.2258
8.200,1.2871
8.250,1.2290
8.300,1.2323
8.350,1.2065
8.400,1.1871
8.450,1.3065
8.500,1.2581
8.550,1.2581
8.600,1.1194
8.650,1.2452
8.700,1.2613
8.750,1.2387
8.800,1.2097
8.850,1.2226
8.900,1.2065
8.950,1.3355
9.000,1.2516
9.050,1.2226
9.100,1.2000
9.150,1.2774
9.200,1.2419
9.250,1.1968
9.300,1.2097
9.350,1.2323
9.400,1.1871
9.450,1.1742
9.500,1.1968
9.550,1.2484
9.600,1.2129
9.650,1.2290
9.700,1.2065
9.750,1.2387
9.800,1.2032
9.850,1.3452
9.900,1.3000
9.950,1.1806
10.000,1.2484
10.050,1.2194
10.100,1.1935
10.150,1.2032
10.200,1.2161
10.250,0.9613
10.300,1.0935
10.350,1.2839
10.400,1.2355
10.450,1.2226
10.500,1.2290
10.550,1.2419
10.600,1.2323
10.650,1.2129
10.700,2.1548
10.750,1.1258
10.800,1.2710
10.850,1.2065
10.900,1.2516
10.950,1.2323
