timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.595,35.02,23.16,1018.92,96285,89.38,5201,16,16,16,-0.431,0.941,9.846,26.250,4.950,-13.794
2.075,35.04,23.12,1018.92,8832,89.38,5201,16,16,16,-0.314,0.981,9.767,26.700,5.550,-13.794
3.545,35.08,23.06,1018.92,13192,89.38,5201,16,16,16,-0.275,1.020,9.846,25.950,4.800,-13.552
5.019,35.12,22.97,1018.93,17533,89.38,5201,16,16,16,-0.353,0.902,9.885,26.400,4.650,-13.552
6.492,35.14,22.91,1018.94,21612,89.38,5201,16,16,16,-0.314,0.941,9.807,26.400,4.500,-13.794
7.967,35.17,22.84,1018.92,26552,89.38,5201,16,16,16,-0.353,0.941,9.767,26.250,4.800,-13.794
9.452,35.21,22.80,1018.92,30111,89.38,5201,16,16,16,-0.353,1.059,9.767,26.400,4.800,-13.068
10.935,35.24,22.74,1018.92,33406,89.38,5201,16,16,16,-0.353,0.902,9.846,26.250,5.100,-13.068
12.421,35.27,22.69,1018.92,36311,89.38,5201,16,16,16,-0.353,0.941,9.846,26.100,4.200,-12.826
13.902,35.30,22.66,1018.92,38895,89.38,5201,16,16,16,-0.275,0.863,9.885,25.950,4.650,-13.794
15.377,35.33,22.62,1018.92,41290,89.38,5201,16,16,16,-0.392,0.902,9.846,25.950,4.950,-12.826
16.860,35.34,22.59,1018.92,43566,89.38,5201,16,16,16,-0.353,0.902,9.846,26.400,4.800,-13.552
18.334,35.35,22.58,1018.91,45679,89.38,5201,16,16,16,-0.314,0.863,9.807,26.400,4.650,-13.794
19.812,35.37,22.54,1018.92,49278,89.38,5201,16,16,16,-0.353,0.941,9.728,26.250,4.950,-14.278
21.286,35.38,22.54,1018.91,51337,89.38,5201,16,16,16,-0.314,0.981,9.728,26.400,5.100,-13.068
22.760,35.39,22.53,1018.90,52998,89.38,5201,16,16,16,-0.275,0.863,9.728,26.250,4.950,-13.552
24.230,35.38,22.52,1018.91,54873,89.38,5201,16,16,16,-0.431,0.824,9.807,26.400,4.800,-12.826
25.711,35.38,22.52,1018.91,56485,89.38,5201,16,16,16,-0.314,0.941,9.846,26.400,4.800,-13.068
27.182,35.37,22.52,1018.91,58157,89.38,5201,16,16,16,-0.431,0.981,9.807,26.400,5.100,-13.552
28.658,35.36,22.52,1018.90,59527,89.38,5201,16,16,16,-0.353,0.981,9.767,26.400,4.050,-13.552
30.136,35.36,22.52,1018.90,61174,89.38,5201,16,16,16,-0.471,0.941,9.807,26.100,4.500,-13.310
31.601,35.35,22.51,1018.90,62470,89.38,5201,16,16,16,-0.392,0.902,9.807,26.250,4.650,-14.036
