timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.300,37.06,21.78,1016.72,335418,561.62,3677,19,19,5,-0.981,-0.863,9.650,30.300,-13.950,-16.214
1.772,37.08,21.73,1016.72,91297,561.62,3677,19,19,5,-1.059,-0.863,9.728,29.550,-13.200,-16.456
3.244,37.13,21.66,1016.72,103739,561.62,3677,19,19,5,-1.020,-0.902,9.650,30.450,-14.250,-16.456
4.716,37.17,21.57,1016.72,108913,561.62,3677,19,19,5,-1.020,-0.824,9.728,30.150,-14.100,-16.940
6.194,37.21,21.49,1016.73,111523,561.62,3677,19,19,5,-1.059,-0.863,9.728,30.000,-13.950,-16.456
7.685,37.24,21.41,1016.73,114408,561.62,3677,19,19,5,-1.020,-0.863,9.767,30.450,-14.250,-16.214
9.161,37.26,21.35,1016.72,115984,561.62,3677,19,19,5,-1.059,-0.863,9.728,30.300,-14.400,-16.456
10.626,37.28,21.31,1016.72,116904,561.62,3677,19,19,5,-1.020,-0.824,9.532,29.550,-14.400,-16.940
12.111,37.31,21.28,1016.72,118708,561.62,3677,19,19,5,-1.059,-0.824,9.728,29.700,-14.100,-16.698
13.587,37.34,21.25,1016.73,119510,561.62,3677,19,19,5,-0.981,-0.863,9.611,30.000,-14.100,-17.182
15.054,37.39,21.22,1016.74,120405,561.62,3677,19,19,5,-1.020,-0.824,9.728,30.000,-13.650,-16.698
16.525,37.43,21.19,1016.73,120405,561.62,3677,19,19,5,-0.981,-0.863,9.767,30.300,-13.800,-16.456
17.991,37.46,21.14,1016.73,121480,561.62,3677,19,19,5,-1.020,-0.824,9.689,29.850,-14.100,-15.972
19.466,37.49,21.10,1016.74,122236,561.62,3677,19,19,5,-1.020,-0.902,9.767,30.000,-14.100,-16.456
20.936,37.52,21.07,1016.74,123086,561.62,3677,19,19,5,-1.020,-0.902,9.650,30.300,-13.800,-16.214
22.410,37.54,21.05,1016.74,123775,561.62,3677,19,19,5,-1.020,-0.863,9.728,30.450,-13.500,-16.456
23.891,37.57,21.02,1016.74,122915,561.62,3677,19,19,5,-1.020,-0.863,9.650,30.450,-13.800,-16.456
25.373,37.60,21.00,1016.74,123949,561.62,3677,19,19,5,-1.059,-0.824,9.689,30.150,-13.500,-16.214
26.841,37.63,20.97,1016.74,123862,561.62,3677,19,19,5,-0.981,-0.824,9.728,30.150,-13.800,-16.214
28.326,37.65,20.94,1016.74,124912,561.62,3677,19,19,5,-1.020,-0.863,9.767,30.150,-13.800,-16.214
29.815,37.66,20.92,1016.75,126249,561.62,3677,19,19,5,-0.902,-0.863,9.650,30.000,-13.800,-16.456
31.307,37.68,20.92,1016.75,125532,561.62,3677,19,19,5,-1.020,-0.863,9.767,29.700,-13.800,-16.456
