timestamp_seconds,voltage
0.009,1.2774
0.050,1.2065
0.100,1.4387
0.152,1.1710
0.200,1.4097
0.251,1.2419
0.300,1.3258
0.350,1.2548
0.400,1.3452
0.450,1.3194
0.500,1.1871
0.550,1.0871
0.600,1.5581
0.650,1.1516
0.700,1.2839
0.750,1.0839
0.800,1.7935
0.850,0.9355
0.900,1.2871
0.950,1.1710
1.000,1.2065
1.050,1.1355
1.100,1.0677
1.150,1.0452
1.200,1.0323
1.250,1.2097
1.300,1.2226
1.350,1.0903
1.400,1.3097
1.450,1.1258
1.500,1.1129
1.550,1.8161
1.600,1.2161
1.650,1.3839
1.700,1.2323
1.750,1.3323
1.800,1.2581
1.850,1.6000
1.900,1.0645
1.950,1.3065
2.000,1.1194
2.050,1.2194
2.100,1.0935
2.150,1.3419
2.200,1.1387
2.250,1.1355
2.300,1.3613
2.350,1.1806
2.400,1.2677
2.450,1.2419
2.500,1.2452
2.550,1.3419
2.600,1.0161
2.650,1.2194
2.700,1.4677
2.750,1.3323
2.800,1.4129
2.850,1.1484
2.900,1.1516
2.950,1.0484
3.000,1.2452
3.050,1.0419
3.100,1.3419
3.150,1.1355
3.200,1.4516
3.250,1.3355
3.300,1.0452
3.350,1.2548
3.400,0.9903
3.450,1.3097
3.500,1.0774
3.550,0.9903
3.600,1.2355
3.650,1.2387
3.700,1.1000
3.750,1.3258
3.800,1.3806
3.850,1.4290
3.900,1.3000
3.950,1.2839
4.000,1.2323
4.050,1.4097
4.100,1.3194
4.150,1.3258
4.200,1.2484
4.250,1.1677
4.300,1.1452
4.350,1.3581
4.400,1.2258
4.450,1.3581
4.500,1.1484
4.550,1.1774
4.600,1.1935
4.650,1.2355
4.700,1.1065
4.750,1.0387
4.800,1.1226
4.850,1.2452
4.900,1.2419
4.950,1.2484
5.000,1.2968
5.050,1.3968
5.100,1.2839
5.150,1.3645
5.200,1.2355
5.250,1.0548
5.300,1.3161
5.350,1.2161
5.400,1.2419
5.450,1.1226
5.500,1.1903
5.550,1.1968
5.600,1.2548
5.650,1.4968
5.700,1.2871
5.750,1.1258
5.800,1.1935
5.850,1.2097
5.900,1.0484
5.950,1.1194
6.000,1.1000
6.050,1.4097
6.100,1.2742
6.150,1.2935
6.200,1.3355
6.250,1.3484
6.300,1.2871
6.350,1.3516
6.400,1.2258
6.450,1.2387
6.500,1.3194
6.550,1.4419
6.600,1.5032
6.650,1.2484
6.700,1.2452
6.750,1.3452
6.800,1.2226
6.850,1.4742
6.900,1.2903
6.950,1.2774
7.000,1.2355
7.050,1.3516
7.100,1.2129
7.150,1.2194
7.200,1.0161
7.250,1.2774
7.300,1.2484
7.350,1.2548
7.400,1.2419
7.450,1.1452
7.500,1.1065
7.550,1.1194
7.600,1.2161
7.650,1.1387
7.700,1.3581
7.750,1.1968
7.800,1.3323
7.850,1.2419
7.900,1.1677
7.950,1.1419
8.000,1.0806
8.050,1.3516
8.100,1.0903
8.150,1.3742
8.200,1.3806
8.250,1.1548
8.300,1.2194
8.350,1.3806
8.400,1.0839
8.450,1.3677
8.500,1.0548
8.550,1.3806
8.600,1.2290
8.650,1.1677
8.700,1.3065
8.750,1.3452
8.800,1.1839
8.850,1.2774
8.900,1.2484
8.950,1.0290
9.000,1.0710
9.050,1.2903
9.100,1.2677
9.150,1.3548
9.200,1.1548
9.250,1.1968
9.300,1.3000
9.350,1.2484
9.400,1.2645
9.450,1.0258
9.500,1.1097
9.550,1.1484
9.600,1.3742
9.650,1.1968
9.700,1.1258
9.750,1.4677
9.800,1.4226
9.850,1.3806
9.900,1.3032
9.950,1.2871
10.000,1.2774
10.050,1.5000
10.100,1.2516
10.150,1.2032
10.200,1.1452
10.250,1.3129
10.300,1.2871
10.350,1.3613
10.400,1.4000
10.450,1.2161
10.500,1.2065
10.550,1.5290
10.600,1.2613
10.650,1.2484
10.700,1.2548
10.750,1.2903
10.800,1.1935
10.850,1.1484
10.900,1.0774
10.950,1.2387
11.000,1.2323
11.050,1.3516
11.100,1.0903
11.150,1.0355
11.200,1.1806
11.250,1.3452
11.300,1.3226
11.350,1.0774
11.400,1.1387
11.450,1.0613
11.500,1.1097
11.550,1.3355
11.600,1.2194
11.650,1.1452
11.700,1.2548
11.750,1.0548
11.800,1.0839
11.850,1.0839
11.900,1.1935
11.950,1.1452
12.000,1.2548
12.050,1.2194
12.100,1.2484
12.150,1.3903
12.201,1.2903
12.250,1.2226
12.300,1.0677
12.350,1.0161
12.400,1.4097
12.450,1.2935
12.500,1.1323
12.550,1.4065
12.600,1.4226
12.650,1.2484
12.700,1.1710
12.750,1.3387
12.800,1.0419
12.850,1.4032
12.900,0.9548
12.950,1.1355
13.000,1.4161
13.050,1.1161
13.100,1.2742
13.150,1.1968
13.200,1.2419
13.250,1.4387
13.300,1.6032
13.350,1.2871
13.400,1.0935
13.450,1.2742
13.500,1.3710
13.550,1.3548
13.600,1.3129
13.650,1.4323
13.700,1.1645
13.750,1.2000
13.800,1.1968
13.850,1.1194
13.900,1.2032
13.950,1.3000
14.000,1.1710
14.050,1.1839
14.100,1.2161
14.150,1.0839
14.200,0.9968
14.250,1.0935
14.300,1.1613
14.350,1.0677
14.400,1.5194
14.450,1.1935
14.500,1.2742
14.550,1.2290
14.600,1.1000
14.650,1.2677
14.700,1.4226
14.750,1.1000
14.800,1.2387
14.850,1.1097
14.900,1.1355
14.950,1.4419
15.000,1.1677
15.050,0.9871
15.100,1.4194
15.150,1.1903
15.200,1.3258
15.250,1.2065
15.300,1.2065
15.350,1.1226
15.400,1.0710
15.450,1.1710
15.500,1.1484
15.550,1.1742
15.600,1.4677
15.650,1.3677
15.700,1.1258
15.750,1.2323
15.800,1.0000
15.850,1.2323
15.900,1.4000
15.950,1.4161
16.000,1.0968
16.050,1.2774
16.100,1.3742
16.150,1.3871
16.200,0.9871
16.250,1.1129
16.300,1.1194
16.350,1.4903
16.400,1.0710
16.450,1.1774
16.500,1.2581
16.550,0.9516
16.600,1.3226
16.650,1.1645
16.700,1.2129
16.750,1.3032
16.800,1.3097
16.850,1.4129
16.900,1.2097
16.950,1.1032
17.000,1.3645
17.050,1.3000
17.100,1.3290
17.150,1.1548
17.200,1.4323
17.250,1.0484
17.300,1.1484
17.350,1.2194
17.400,1.2806
17.450,1.1194
17.500,1.3968
17.550,1.1806
17.600,1.1839
17.650,1.3710
17.700,1.2871
17.750,1.0839
17.800,1.1290
17.850,1.2419
17.900,1.1323
17.950,1.1290
18.000,1.3194
18.050,1.2548
18.100,1.1710
18.150,1.0645
18.200,1.1226
18.250,1.5097
18.300,1.2645
18.350,1.3968
18.400,1.0323
18.450,1.2323
18.500,0.9677
18.550,1.1548
18.600,1.1839
18.650,1.3806
18.700,1.2581
18.750,1.2548
18.800,1.2194
18.850,1.2129
18.900,1.2419
18.950,1.4290
19.000,1.2387
19.050,1.1290
19.100,1.1839
19.150,1.3516
19.200,1.2452
19.250,1.1742
19.300,0.6323
19.350,0.9484
19.400,1.0742
19.450,1.1452
19.500,1.2839
19.550,1.3452
19.600,1.1452
19.650,1.0839
19.700,1.1065
19.750,1.2742
