timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.315,36.40,22.31,1016.96,283472,561.62,3677,19,19,5,-0.431,-0.157,9.767,20.550,-9.150,-15.004
1.784,36.42,22.27,1016.97,29928,561.62,3677,19,19,5,-0.431,-0.157,9.807,20.700,-8.550,-15.730
3.255,36.45,22.18,1016.98,38861,561.62,3677,19,19,5,-0.471,-0.157,9.807,19.800,-8.250,-15.730
4.731,36.47,22.08,1016.98,48842,561.62,3677,19,19,5,-0.510,-0.157,9.885,20.700,-8.700,-15.730
6.201,36.49,22.02,1016.99,55984,561.62,3677,19,19,5,-0.510,-0.196,9.689,20.850,-8.850,-15.246
