timestamp_seconds,voltage
0.012,1.2935
0.053,1.0806
0.102,1.0258
0.152,1.2742
0.230,1.2290
0.250,1.2516
0.300,1.4032
0.350,1.1581
0.400,1.3968
0.450,1.3613
0.500,1.2452
0.550,1.0032
0.600,1.2000
0.650,1.4065
0.700,1.1516
0.750,1.0194
0.800,1.2903
0.850,1.2226
0.900,1.3516
0.950,1.3323
1.000,1.2387
1.050,1.1710
1.100,1.1129
1.150,1.2677
1.200,1.1032
1.250,1.4161
1.300,1.2613
1.350,1.2774
1.400,1.4129
1.450,1.2677
1.500,1.1742
1.550,1.4226
1.600,1.2065
1.650,1.1871
1.700,1.2258
1.750,1.0226
1.800,1.3226
1.850,1.2806
1.900,1.3516
1.950,1.3581
2.000,1.0161
2.050,1.2258
2.100,1.1871
2.150,0.9290
2.200,1.1065
2.250,1.0097
2.300,1.2871
2.350,1.2452
2.400,1.3258
2.450,1.1968
2.500,1.2226
2.550,0.9935
2.600,1.3581
2.650,1.1032
2.700,1.4258
2.750,1.3419
2.800,1.2742
2.850,1.3355
2.900,1.2548
2.950,1.2387
3.000,1.2323
3.050,1.3484
3.100,1.2613
3.150,1.2323
3.200,1.0645
3.250,1.3774
3.300,1.2419
3.350,1.1968
3.400,1.1484
3.450,1.2871
3.500,1.1774
3.550,1.1065
3.600,1.3516
3.650,1.1839
3.700,1.1903
3.750,1.2452
3.800,1.0065
3.850,1.4677
3.900,1.3226
3.950,1.3903
4.000,1.2548
4.050,1.1065
4.100,1.2323
4.150,1.1065
4.200,1.1032
4.250,1.1677
4.300,1.3161
4.350,1.3613
4.400,1.2677
4.450,1.2323
4.500,1.0935
4.550,1.2742
4.600,1.3806
4.650,1.1387
4.700,1.2516
4.750,1.0484
4.800,1.2935
4.850,1.2097
4.900,1.3871
4.950,1.2323
5.000,1.2000
5.050,1.4548
5.100,1.1935
5.150,1.1613
5.200,1.5226
5.250,1.2065
5.300,1.3323
5.350,0.8065
5.400,1.1097
5.450,1.0839
5.500,1.1935
5.550,1.1452
5.600,1.0903
5.650,1.0710
5.700,1.1452
5.750,1.2935
5.800,1.3516
5.850,1.2806
5.900,1.3323
5.950,1.2742
6.000,1.2258
6.050,1.2677
6.100,1.3355
6.150,1.4935
6.200,1.4000
6.250,1.2871
6.300,1.2710
6.350,1.2935
6.400,1.4387
6.450,1.4935
6.500,1.1323
6.550,1.1968
6.600,1.0774
6.650,1.1581
6.700,1.1290
6.750,1.1742
6.800,1.1387
6.850,1.1000
6.900,1.3290
6.950,1.2581
7.000,1.2387
7.050,1.2903
7.100,1.1935
7.150,1.1968
7.200,1.1548
7.250,1.2710
7.300,1.3065
7.350,1.2935
7.400,1.3968
7.450,1.0355
7.500,1.0774
7.550,1.0452
