timestamp_seconds,voltage
0.012,1.3839
0.054,1.3613
0.100,1.2387
0.150,1.1677
0.212,1.2323
0.255,0.9935
0.300,1.2452
0.350,1.1097
0.400,1.0903
0.450,1.1355
0.500,1.4677
0.550,1.2323
0.600,1.1581
0.650,1.2065
0.700,1.0806
0.750,1.1548
0.800,1.3161
0.850,1.3839
0.900,1.0613
0.950,1.1194
1.000,1.1419
1.050,1.4742
1.100,1.3226
1.150,1.4000
1.200,1.4613
1.253,1.2806
1.300,1.2903
1.350,1.3097
1.400,1.2548
1.450,1.1419
1.500,1.1581
1.550,1.2258
1.600,1.0871
1.650,1.1452
1.700,1.2065
1.750,1.0355
1.800,1.1871
1.850,1.1903
1.900,1.1839
1.950,1.2290
2.000,1.0871
2.050,1.0613
2.100,1.1774
2.150,1.2161
2.200,1.1032
2.250,1.3097
2.300,1.2097
2.350,1.2968
2.400,1.1935
2.450,1.1645
2.500,1.2645
2.550,1.2903
2.600,1.9032
2.650,1.6419
2.700,1.2484
2.750,1.1548
2.800,1.2613
2.850,1.2258
2.900,1.2387
2.950,1.1677
3.000,1.1903
3.050,1.1645
3.100,1.1613
3.150,1.2419
3.200,1.2387
3.250,1.3032
3.300,1.2419
3.350,1.3000
3.400,1.2419
3.450,1.2903
3.500,1.2871
3.550,1.1677
3.600,1.4000
3.650,1.2129
3.700,1.2355
3.750,1.3710
3.800,1.1387
3.850,1.1452
3.900,1.1774
3.950,1.1129
4.000,1.1968
4.050,1.0581
4.100,1.3097
4.150,1.1355
4.200,1.1290
4.250,1.2645
4.300,1.2516
4.350,1.2839
4.400,1.0871
4.450,1.2774
4.500,1.3548
4.550,1.3419
4.600,1.3968
4.650,1.5677
4.700,1.4194
4.750,1.2484
4.800,1.2355
4.850,2.4129
4.900,0.0000
4.950,1.5129
5.000,1.2742
5.050,1.1710
5.100,1.2613
5.150,1.2161
5.200,1.2290
5.250,1.2742
5.300,1.2613
5.350,1.1935
5.400,1.2871
5.450,1.1258
5.500,1.2484
5.550,1.2581
5.600,1.1871
5.650,1.1806
5.700,1.3194
5.750,1.3484
5.800,1.3323
5.850,1.3000
5.900,1.3097
5.950,1.3581
6.000,1.2935
6.050,1.2935
6.100,1.1000
6.150,1.2452
6.200,1.2613
6.250,1.2000
6.300,1.2903
6.350,1.4710
6.400,1.5097
6.450,1.2581
6.500,1.2419
6.550,1.2355
6.600,1.1065
6.650,1.1000
6.700,1.1516
6.750,1.2903
6.800,1.1645
6.850,1.2000
6.900,1.2161
6.950,1.3935
7.000,1.3419
7.050,1.1935
7.100,1.1806
7.150,1.1645
7.200,1.2323
7.250,1.2742
7.300,1.0581
7.350,1.0484
7.400,0.9968
7.450,1.1710
7.500,1.2226
7.550,0.9613
7.600,1.1806
7.650,1.2613
7.700,1.1742
7.750,1.0871
7.800,1.0677
7.850,1.1355
7.900,1.2742
7.950,1.1516
8.000,1.3323
8.050,1.1839
8.100,1.2581
8.150,1.2581
8.200,1.3129
8.250,1.2903
8.300,1.1806
8.350,1.2806
8.400,1.2161
8.450,1.2419
8.500,1.1935
8.550,1.2484
8.600,1.1806
8.650,1.1677
8.700,1.2871
8.750,1.1613
8.800,1.2839
8.850,1.2452
8.900,1.1065
8.950,1.2581
9.000,1.1871
9.050,1.3194
9.100,1.0355
9.150,1.1355
9.200,1.2774
9.250,1.2871
9.300,1.2452
9.350,1.3290
9.400,1.4226
9.450,1.4516
9.500,1.3871
9.550,1.1484
9.600,0.7710
9.650,1.2387
9.700,1.1484
9.750,1.3452
9.800,1.1387
9.850,1.2032
9.900,1.2323
9.950,1.1774
10.000,1.2290
10.050,1.2194
10.100,1.2226
10.150,1.2097
10.200,1.2000
10.250,1.1968
10.300,1.2968
10.350,1.2355
10.400,1.2839
10.450,1.2871
10.500,1.3548
10.550,1.2806
10.600,1.3032
10.650,1.2548
10.700,1.1613
10.750,1.2452
10.800,1.2839
10.850,1.3097
10.900,1.2839
10.950,1.2645
11.000,1.1839
11.050,1.4710
11.100,1.2290
11.150,1.3742
11.200,1.4935
11.250,1.1097
11.300,1.3419
11.350,1.2419
11.400,1.1968
11.450,1.3677
11.500,1.3935
11.550,1.2581
11.600,1.1000
11.650,1.2871
11.700,1.4323
11.750,1.2710
11.800,1.3839
11.850,1.1484
11.900,1.2323
11.950,1.4774
12.000,1.3032
12.050,1.4226
12.100,1.1290
12.150,1.2097
12.200,1.1613
12.250,1.3419
12.300,1.2065
12.350,1.4000
12.400,1.3097
12.450,1.1129
12.500,1.3452
12.550,1.3581
12.600,1.0935
12.650,1.3677
12.700,1.2581
