timestamp_seconds,raw
0.072,42.5
0.078,"1354.056,""cm"",306.6"
0.082,"{""SpeedOutputFeature"":""D""}"
0.176,"1957.127,""cmps"",6.1"
0.226,"1957.186,""cm"",204.4"
9.767,"1966.733,""cmps"",21.2"
9.775,"1966.792,""cm"",144.8"
9.857,"1966.825,""cmps"",6.1"
9.867,"1966.884,""cm"",161.8"
9.947,"1966.916,""cmps"",6.1"
9.959,"1966.975,""cm"",111.5"
10.251,"1967.219,""cmps"",-18.2"
10.263,"1967.278,""cm"",238.5"
10.343,"1967.311,""cmps"",-18.2"
10.355,"1967.370,""cm"",229.9"
10.434,"1967.403,""cmps"",3.0"
10.448,"1967.462,""cm"",212.9"
11.733,"1968.701,""cmps"",33.4"
11.745,"1968.760,""cm"",204.4"
11.896,"1968.864,""cmps"",45.5"
11.907,"1968.923,""cm"",213.0"
11.989,"1968.956,""cmps"",45.5"
12.000,"1969.015,""cm"",204.4"
12.080,"1969.048,""cmps"",60.7"
12.092,"1969.107,""cm"",187.4"
12.173,"1969.140,""cmps"",100.1"
12.184,"1969.200,""cm"",111.2"
12.268,"1969.232,""cmps"",42.5"
12.276,"1969.291,""cm"",136.3"
12.357,"1969.324,""cmps"",36.4"
12.367,"1969.383,""cm"",111.0"
12.450,"1969.416,""cmps"",36.4"
12.460,"1969.475,""cm"",111.1"
12.540,"1969.508,""cmps"",54.6"
12.552,"1969.567,""cm"",110.9"
12.632,"1969.600,""cmps"",66.7"
12.643,"1969.660,""cm"",76.6"
12.723,"1969.691,""cmps"",51.6"
12.734,"1969.751,""cm"",76.6"
12.817,"1969.782,""cmps"",45.5"
12.825,"1969.842,""cm"",68.2"
12.906,"1969.873,""cmps"",33.4"
12.916,"1969.932,""cm"",68.2"
12.996,"1969.964,""cmps"",33.4"
13.007,"1970.024,""cm"",68.1"
13.087,"1970.055,""cmps"",39.4"
13.098,"1970.114,""cm"",68.1"
13.183,"1970.146,""cmps"",27.3"
13.190,"1970.205,""cm"",68.2"
13.270,"1970.237,""cmps"",45.5"
13.280,"1970.297,""cm"",68.1"
13.361,"1970.328,""cmps"",36.4"
13.371,"1970.387,""cm"",68.1"
13.454,"1970.419,""cmps"",33.4"
13.464,"1970.481,""cm"",68.1"
13.545,"1970.513,""cmps"",24.3"
13.556,"1970.572,""cm"",68.1"
13.637,"1970.604,""cmps"",18.2"
13.647,"1970.663,""cm"",68.1"
13.727,"1970.695,""cmps"",18.2"
13.737,"1970.754,""cm"",68.1"
13.818,"1970.786,""cmps"",12.1"
13.828,"1970.845,""cm"",68.1"
15.191,"1972.156,""cmps"",-15.2"
15.199,"1972.215,""cm"",68.1"
15.283,"1972.248,""cmps"",-24.3"
15.291,"1972.307,""cm"",111.1"
15.371,"1972.340,""cmps"",-30.3"
15.382,"1972.400,""cm"",68.1"
15.464,"1972.432,""cmps"",-30.3"
15.474,"1972.492,""cm"",68.1"
15.556,"1972.524,""cmps"",-33.4"
15.567,"1972.584,""cm"",68.2"
15.652,"1972.616,""cmps"",-36.4"
15.659,"1972.676,""cm"",110.8"
15.739,"1972.708,""cmps"",-12.1"
15.751,"1972.767,""cm"",68.1"
15.832,"1972.800,""cmps"",-30.3"
15.842,"1972.860,""cm"",68.1"
15.924,"1972.892,""cmps"",-30.3"
15.937,"1972.951,""cm"",68.1"
16.016,"1972.984,""cmps"",-27.3"
16.027,"1973.043,""cm"",68.2"
16.108,"1973.076,""cmps"",-36.4"
16.119,"1973.135,""cm"",68.2"
16.199,"1973.168,""cmps"",-36.4"
16.210,"1973.227,""cm"",68.2"
16.292,"1973.260,""cmps"",-33.4"
16.302,"1973.319,""cm"",68.2"
16.384,"1973.352,""cmps"",-45.5"
16.395,"1973.411,""cm"",76.6"
16.476,"1973.444,""cmps"",-60.7"
16.487,"1973.504,""cm"",110.7"
16.569,"1973.536,""cmps"",-72.8"
16.579,"1973.595,""cm"",110.8"
16.661,"1973.628,""cmps"",-60.7"
16.671,"1973.687,""cm"",111.0"
16.752,"1973.720,""cmps"",-88.0"
16.762,"1973.780,""cm"",110.8"
16.844,"1973.812,""cmps"",-63.7"
16.855,"1973.871,""cm"",111.0"
16.937,"1973.904,""cmps"",-57.6"
16.947,"1973.963,""cm"",136.3"
17.029,"1973.996,""cmps"",-66.7"
17.043,"1974.054,""cm"",212.9"
17.120,"1974.087,""cmps"",-63.7"
17.132,"1974.146,""cm"",195.9"
17.212,"1974.179,""cmps"",-84.9"
17.223,"1974.238,""cm"",204.4"
17.304,"1974.271,""cmps"",-81.9"
17.315,"1974.330,""cm"",528.0"
17.396,"1974.363,""cmps"",-72.8"
17.407,"1974.422,""cm"",528.1"
17.489,"1974.455,""cmps"",-45.5"
17.499,"1974.514,""cm"",204.4"
22.054,"1979.021,""cmps"",-36.4"
22.067,"1979.080,""cm"",212.9"
22.145,"1979.113,""cmps"",-39.4"
22.157,"1979.172,""cm"",212.9"
22.236,"1979.205,""cmps"",9.1"
22.248,"1979.264,""cm"",212.9"
22.328,"1979.296,""cmps"",-21.2"
22.340,"1979.355,""cm"",238.5"
22.420,"1979.388,""cmps"",-18.2"
22.431,"1979.447,""cm"",230.0"
22.511,"1979.550,""cmps"",9.1"
22.522,"1979.539,""cm"",272.5"
