timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.372,41.42,18.04,1019.91,51547,360.63,2915,35,20,3,0.039,0.118,9.767,24.600,18.600,-17.908
1.848,41.44,17.99,1019.92,10637,489.80,2915,35,20,3,0.078,0.196,9.728,24.450,18.750,-17.666
3.333,41.46,17.94,1019.91,15804,360.63,2915,35,20,3,0.078,0.196,9.807,24.300,18.300,-17.666
4.806,41.49,17.87,1019.91,20434,360.63,2915,35,20,3,0.000,0.196,9.689,24.150,18.450,-18.150
6.279,41.52,17.83,1019.90,25900,489.80,2915,45,12,4,0.078,0.196,9.728,24.000,18.750,-17.424
7.760,41.56,17.81,1019.90,29948,489.80,2915,35,20,3,0.039,0.196,9.767,24.150,18.450,-17.424
9.233,41.59,17.76,1019.90,33737,360.63,2915,35,20,3,0.000,0.196,9.689,24.300,18.300,-17.908
