timestamp_seconds,voltage
0.010,1.2419
0.055,1.4000
0.100,1.3548
0.151,1.1806
0.201,1.3419
0.252,1.2581
0.300,1.2161
0.350,1.1323
0.400,1.2774
0.450,1.2161
0.500,1.1935
0.550,1.2613
0.600,1.2935
0.650,1.2129
0.700,1.2742
0.750,1.1194
0.800,1.2710
0.850,1.2484
0.900,1.1710
0.950,1.1323
1.000,1.4161
1.050,1.1871
1.100,1.3097
1.150,1.4774
1.200,1.3161
1.250,1.0323
1.300,1.1613
1.350,1.2871
1.400,1.2323
1.450,1.1548
1.500,1.2032
1.550,1.3355
1.600,1.1548
1.650,1.2452
1.700,1.2258
1.750,1.2419
1.800,1.1419
1.850,1.2871
1.900,1.2419
1.950,1.3226
2.000,1.0774
2.050,1.3355
2.100,1.1839
2.150,1.2677
2.200,1.2161
2.250,1.2194
2.300,1.2065
2.350,1.2387
2.400,1.2161
2.450,1.2226
2.500,1.2645
2.550,1.2032
2.600,1.2258
2.650,1.2484
2.700,1.4387
2.750,0.9290
2.800,1.2000
2.850,1.2000
2.900,1.2452
2.955,1.1258
3.000,1.2258
3.050,1.2871
3.100,1.1968
3.150,1.3097
3.200,1.1548
3.250,1.4452
3.300,1.2613
3.350,1.1871
3.400,1.0226
3.450,1.2484
3.500,1.5258
3.550,1.5097
3.600,1.2065
3.650,1.2968
3.700,1.2871
3.750,1.1903
3.800,1.2387
3.850,1.2548
3.900,1.2935
3.950,1.1613
4.000,1.2839
4.050,1.4032
4.100,1.1645
4.150,1.2516
4.200,1.3290
4.250,1.3645
4.300,1.1839
4.350,1.1194
4.400,0.9742
4.450,1.2613
4.500,1.3419
4.550,1.2065
4.600,1.2581
4.650,1.1065
4.700,1.2935
4.750,1.2677
4.800,1.2387
4.850,1.2581
4.900,1.2290
4.950,1.2839
5.000,1.1548
5.050,1.3968
5.100,1.3452
5.150,1.1484
5.200,1.2000
5.250,1.2290
5.300,1.3258
5.350,1.2452
5.400,0.8774
5.450,1.4194
5.500,1.2484
5.550,1.4226
5.600,1.3097
5.650,1.1806
5.700,1.0903
5.750,1.2968
5.800,1.3387
5.850,1.3161
5.900,1.3290
5.950,1.2548
6.000,1.0161
6.050,1.1903
6.100,1.3581
6.150,1.0903
6.200,1.2677
6.250,1.2774
6.300,1.2097
6.350,1.0774
6.400,1.3097
6.450,1.2839
6.500,1.3097
6.550,1.4258
6.600,1.2161
6.650,1.1839
6.700,1.1226
6.750,1.2226
6.800,1.3226
6.850,1.5129
6.900,1.2613
6.950,1.2871
7.000,1.3839
7.050,1.1935
7.100,1.3871
7.150,1.1742
7.200,1.2323
7.250,1.2806
7.300,1.2774
7.350,1.2484
7.400,1.1613
7.450,1.4290
7.500,1.3032
7.550,1.5194
7.600,0.9065
7.650,1.0161
7.700,1.4548
7.750,1.0871
7.800,1.3613
7.850,1.3065
7.900,1.5516
7.950,0.8258
8.000,1.1774
8.050,1.3581
8.100,1.3387
8.150,1.2032
8.200,1.0194
8.250,1.2032
8.300,1.4000
8.350,1.1774
8.400,1.1774
8.450,1.2323
8.500,1.2452
8.550,1.3032
8.600,1.1387
8.650,1.2613
8.700,1.2903
8.750,1.3613
8.800,1.2581
8.850,1.3484
8.900,1.2226
8.950,1.2419
9.000,1.1935
9.050,1.1613
9.100,1.1129
9.150,1.2581
9.200,1.3065
9.250,1.0645
9.300,1.0258
9.350,1.0516
9.400,1.4355
9.450,1.3065
9.500,1.3097
9.550,1.2161
9.600,1.1129
9.650,1.2484
9.700,1.3097
9.750,1.0677
