timestamp_seconds,raw
0.239,"58.069,""cm"",306.6"
0.241,"{""UnknownCommand"":""5""}"
0.242,"{""UnknownCommand"":""8""}"
0.244,"{""UnknownCommand"":"".""}"
0.245,"{""UnknownCommand"":""""""}"
0.246,"{""UnknownCommand"":""c""}"
0.248,"{""FMCWSampleCmd"":""illegal value: """"}"
0.249,"{""UnknownCommand"":"",""}"
0.251,"{""SpeedOutputFeature"":""D""}"
7.782,"166.892,""cmps"",39.4"
7.791,"166.951,""cm"",272.6"
7.942,"167.052,""cmps"",12.1"
7.952,"167.111,""cm"",264.1"
8.031,"167.143,""cmps"",9.1"
8.042,"167.202,""cm"",264.0"
11.318,"170.429,""cmps"",45.5"
11.328,"170.488,""cm"",264.0"
14.036,"173.148,""cmps"",-12.1"
14.047,"173.207,""cm"",119.3"
14.127,"173.239,""cmps"",-30.3"
14.138,"173.298,""cm"",153.3"
14.218,"173.330,""cmps"",-36.4"
14.229,"173.389,""cm"",136.3"
14.309,"173.421,""cmps"",-45.5"
14.320,"173.481,""cm"",153.3"
14.400,"173.512,""cmps"",-33.4"
14.411,"173.572,""cm"",153.3"
14.491,"173.603,""cmps"",21.2"
14.502,"173.663,""cm"",153.3"
14.582,"173.694,""cmps"",-33.4"
14.593,"173.753,""cm"",127.8"
14.678,"173.785,""cmps"",12.1"
14.684,"173.844,""cm"",153.3"
14.764,"173.876,""cmps"",-54.6"
14.775,"173.935,""cm"",264.0"
14.855,"173.967,""cmps"",-39.4"
14.866,"174.024,""cm"",272.5"
20.769,"179.880,""cmps"",-12.1"
20.780,"179.939,""cm"",264.0"
21.571,"180.681,""cmps"",-15.2"
21.581,"180.740,""cm"",272.6"
31.317,"190.428,""cmps"",-24.3"
31.328,"190.487,""cm"",289.6"
31.408,"190.519,""cmps"",-33.4"
31.419,"190.578,""cm"",281.1"
31.499,"190.610,""cmps"",-36.4"
31.510,"190.669,""cm"",281.1"
31.591,"190.701,""cmps"",-39.4"
31.601,"190.760,""cm"",281.0"
31.894,"191.005,""cmps"",-12.1"
31.904,"191.064,""cm"",289.6"
31.986,"191.096,""cmps"",-30.3"
31.995,"191.155,""cm"",289.5"
32.076,"191.187,""cmps"",-48.5"
32.087,"191.246,""cm"",281.0"
32.167,"191.278,""cmps"",9.1"
32.177,"191.337,""cm"",281.0"
