timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.676,33.71,24.97,1017.90,207276,579.18,3296,30,19,5,-1.334,-0.549,9.767,28.800,-3.900,-4.840
2.151,33.72,24.94,1017.90,13767,579.18,3296,30,19,5,-1.255,-0.549,9.689,28.650,-3.900,-5.082
3.622,33.74,24.87,1017.90,19226,579.18,3296,30,19,5,-1.255,-0.549,9.689,28.800,-3.750,-4.598
5.104,33.77,24.80,1017.89,26191,579.18,3296,25,16,4,-1.294,-0.549,9.728,28.200,-3.600,-4.356
6.587,33.80,24.74,1017.89,31616,579.18,3296,30,19,5,-1.216,-0.510,9.767,28.500,-3.300,-4.356
8.078,33.82,24.68,1017.90,36521,579.18,3296,30,19,5,-1.216,-0.549,9.767,29.100,-3.900,-5.082
9.555,33.83,24.64,1017.90,40683,579.18,3296,30,19,5,-1.255,-0.549,9.728,29.250,-3.900,-3.630
11.037,33.85,24.60,1017.91,44530,579.18,3296,30,19,5,-1.216,-0.588,9.767,28.350,-4.350,-4.114
12.517,33.86,24.58,1017.90,49693,579.18,3296,30,19,5,-1.138,-0.667,9.689,28.500,-3.750,-5.808
13.993,33.87,24.54,1017.90,53254,579.18,3296,30,19,5,-1.294,-0.549,9.767,28.800,-3.450,-4.356
15.469,33.89,24.54,1017.90,55702,579.18,3296,25,16,4,-1.216,-0.588,9.807,28.200,-3.900,-4.840
16.945,33.90,24.52,1017.90,58387,579.18,3296,25,16,4,-1.216,-0.549,9.767,28.950,-3.750,-4.598
18.414,33.92,24.50,1017.91,60712,579.18,3296,30,19,5,-1.216,-0.549,9.807,28.500,-3.600,-4.598
19.882,33.93,24.48,1017.91,62914,579.18,3296,30,19,5,-1.255,-0.549,9.767,28.350,-3.150,-4.356
21.355,33.96,24.47,1017.91,64805,579.18,3296,30,19,5,-1.255,-0.549,9.807,28.650,-3.600,-3.872
22.828,33.98,24.45,1017.92,67116,579.18,3296,30,19,5,-1.177,-0.510,9.728,28.950,-3.600,-4.356
24.308,34.01,24.44,1017.92,68520,579.18,3296,30,19,5,-1.255,-0.549,9.767,28.500,-3.900,-4.356
25.791,34.04,24.42,1017.93,70655,579.18,3296,30,19,5,-1.255,-0.510,9.728,28.500,-3.750,-4.840
27.273,34.06,24.38,1017.93,71570,579.18,3296,25,16,4,-1.216,-0.588,9.689,28.650,-3.750,-4.114
28.756,34.08,24.35,1017.92,73473,579.18,3296,30,19,5,-1.255,-0.549,9.728,28.650,-3.750,-5.082
30.232,34.09,24.34,1017.92,74462,579.18,3296,30,19,5,-1.255,-0.549,9.689,28.650,-3.300,-4.598
31.712,34.12,24.32,1017.93,75933,579.18,3296,30,19,5,-1.216,-0.588,9.728,28.650,-3.450,-3.872
