timestamp_seconds,voltage
0.267,1.2516
0.321,1.0226
0.372,1.4549
0.423,1.0936
0.474,1.1806
0.525,1.2387
0.577,1.1484
0.628,1.3806
0.679,1.3548
0.730,1.0452
0.781,1.2226
0.832,1.0193
0.883,1.1322
0.934,1.4322
0.985,1.3355
1.036,1.3355
1.087,1.1581
1.138,1.3032
1.189,1.1355
1.243,1.3226
1.294,1.3420
1.345,0.7807
1.396,1.1774
1.451,1.4193
1.502,1.1645
1.553,1.2000
1.604,1.1322
1.656,1.2484
1.707,0.9936
1.758,1.0161
1.809,1.3968
1.862,1.4032
1.913,1.2516
1.964,1.4645
2.019,1.4516
2.070,1.1838
2.121,1.2420
2.172,1.2484
2.223,1.2452
2.275,1.1903
2.326,1.2710
2.377,1.1742
2.428,1.3258
2.479,1.0355
2.532,1.2032
2.585,1.2838
2.636,1.2548
2.687,1.0387
2.738,1.1387
2.789,1.3258
2.841,1.4226
2.892,1.2806
2.943,1.1226
2.994,1.2806
3.046,0.9709
3.097,1.1097
3.148,1.2903
3.199,1.1129
3.251,1.3097
3.302,1.4226
3.353,1.1387
3.405,1.2161
3.456,1.1484
3.507,1.4000
3.558,1.2420
3.609,1.3420
3.660,1.2516
3.711,1.1258
3.763,1.2290
3.814,1.1968
3.867,1.2000
3.918,1.3452
3.969,1.5000
4.020,1.3355
4.072,1.1677
4.123,1.1355
4.174,1.4226
4.225,1.1193
4.276,1.3484
4.327,1.2129
4.378,1.4806
4.430,1.1064
4.481,1.0484
4.533,1.3613
4.586,1.1806
4.637,1.2064
4.688,1.2452
4.739,1.0000
4.790,1.4677
4.842,1.2452
4.893,1.2420
4.944,0.9516
4.999,1.2193
5.050,1.2516
5.102,1.1452
5.155,1.3258
5.207,1.1645
5.262,1.0064
5.313,1.2677
5.367,1.0871
5.418,1.2097
5.474,1.2548
5.525,1.5742
5.577,1.1709
5.628,1.3129
5.680,1.2806
5.731,1.1806
5.787,1.1645
5.839,1.1677
5.890,1.3032
5.941,1.1838
5.993,1.2645
6.044,1.2903
6.095,1.1968
6.147,1.2064
6.198,1.3226
6.249,1.2322
6.300,1.3129
6.351,1.2258
6.402,1.1290
6.454,1.2806
6.506,1.3290
6.557,1.3129
6.608,1.1258
6.660,1.1322
6.711,1.1613
6.762,1.2290
6.813,1.2968
6.864,1.2258
6.915,1.1419
6.966,1.3226
7.017,1.3710
7.068,1.3193
7.120,1.2355
7.171,1.3322
7.222,1.1000
7.273,1.0774
7.326,0.9903
7.377,1.0581
7.428,1.2193
7.480,1.2581
7.531,1.2968
7.582,1.4065
7.635,1.3903
7.686,1.0097
7.737,1.1097
7.788,1.3968
7.846,1.3161
7.897,1.2677
7.948,1.2838
8.002,1.3548
8.053,1.2484
8.104,1.2742
8.155,1.0968
8.206,1.3387
8.257,1.0936
8.310,1.0774
8.366,1.3774
8.417,1.3355
8.468,1.3420
8.519,1.1419
8.570,1.1258
8.621,1.2645
8.672,1.2452
8.723,1.2548
8.775,1.2548
8.826,1.2097
8.878,1.2258
8.930,1.2032
8.982,1.1936
9.035,1.2322
9.086,1.1968
9.138,1.2452
9.189,1.1516
9.240,1.2290
9.292,1.2161
9.343,1.1968
9.395,1.0936
9.446,1.1871
9.497,1.1709
9.548,1.1613
9.599,1.2032
9.650,1.2290
9.701,1.2774
9.752,1.0968
9.805,1.3226
9.856,1.2548
9.907,1.3903
9.959,1.2710
10.010,1.3774
10.061,1.3322
10.112,1.3677
10.163,1.2129
10.217,1.1968
10.268,1.0806
10.323,1.1516
10.374,1.1838
10.425,1.1742
10.477,1.2064
10.528,1.2193
10.579,1.2742
10.631,1.1161
10.682,1.1032
10.734,1.0903
10.785,1.0355
10.836,1.0709
10.888,0.8968
10.939,1.3000
10.991,1.2355
11.042,1.2613
11.094,1.3161
11.145,1.0709
11.196,1.1452
11.248,1.0613
11.299,1.2806
11.353,1.1516
11.406,1.3258
11.457,1.2129
11.508,1.2258
11.560,1.3968
11.611,1.3258
11.662,1.1387
11.713,1.1936
11.764,1.2097
11.817,1.3161
11.869,1.2064
11.920,1.3065
11.971,1.1548
12.022,1.3742
12.073,1.4355
12.124,1.4613
12.176,1.2322
12.227,1.3742
12.278,1.1064
12.329,1.2355
12.380,1.3838
12.431,1.3322
12.482,1.1226
12.533,1.2258
12.585,1.2742
12.636,1.3193
12.687,1.3936
12.739,1.1193
12.790,1.3290
12.841,1.2322
12.894,1.2838
12.945,1.0323
12.996,1.3420
13.047,1.0742
13.098,1.3032
13.149,1.3548
13.202,1.2420
13.253,1.1258
13.304,1.2774
13.355,1.1613
13.407,1.2936
13.458,1.3290
13.510,1.1322
13.563,1.1355
13.614,1.4968
13.665,1.3226
13.717,1.2484
13.768,1.2677
13.819,0.9000
13.870,1.2129
13.921,1.1516
13.972,1.3032
14.023,1.4516
14.077,1.2484
14.128,1.3936
14.179,1.4290
14.230,1.1742
14.281,0.9193
14.333,1.1581
14.384,1.2258
14.435,1.2774
14.487,1.0936
14.539,1.2420
14.591,1.2516
14.642,1.2193
14.693,1.1742
14.744,1.2742
14.795,1.2838
14.846,1.1193
14.898,1.3838
14.949,1.1968
15.000,1.1193
15.051,1.3968
15.103,1.3806
15.154,1.3129
15.205,1.3742
15.257,1.2710
15.308,1.2452
15.361,1.4935
15.412,1.2903
15.463,1.1000
15.514,1.0193
15.565,1.0677
15.616,0.9129
15.667,1.5258
15.719,0.8968
15.773,1.1838
15.824,1.3645
15.875,1.4419
15.927,1.1129
15.978,1.3581
16.031,1.4000
16.083,1.0903
16.134,1.2129
16.185,1.3322
16.236,1.2903
16.287,1.3161
16.338,1.2838
16.389,1.2645
16.441,1.1290
16.492,1.2613
16.543,1.0387
16.595,1.1968
16.646,1.1355
16.697,1.3613
16.749,1.1064
16.800,1.2838
16.852,1.1064
16.903,1.2097
16.954,0.9387
17.006,1.2000
17.057,1.1871
17.109,1.1677
17.160,1.3290
17.213,1.3903
17.264,1.3355
17.315,1.0581
17.367,1.3290
17.418,1.2290
17.469,1.3936
17.520,1.4226
17.571,1.4774
17.622,1.2806
17.673,1.1838
17.725,1.2677
17.776,1.3355
17.827,1.2516
17.879,1.5097
17.930,1.1161
17.981,1.2806
18.032,1.2516
18.084,1.3710
18.135,1.2129
18.186,1.3258
18.237,1.3806
18.288,1.1709
18.339,1.3613
18.393,1.3516
18.444,1.2322
18.495,1.2774
18.546,1.1258
18.598,1.1903
18.649,1.0161
18.700,1.0645
18.751,1.4065
18.802,1.2613
18.854,1.2097
18.905,1.1452
18.956,1.3936
19.007,1.3355
19.058,1.3838
19.110,1.3322
19.161,1.3000
19.212,1.1452
19.263,1.1484
19.314,1.2032
19.365,1.1871
19.416,1.2710
19.467,1.3645
19.519,1.2774
19.570,1.1936
19.621,1.1387
19.674,1.1613
19.725,1.2355
19.777,1.1903
19.828,1.1968
19.879,1.3032
19.931,1.3806
19.981,1.0613
20.033,1.2903
20.084,1.0871
20.135,1.1581
20.187,1.0839
20.241,1.2420
20.292,1.3387
20.343,1.2420
20.395,1.2677
20.447,1.1838
20.498,1.2258
20.549,1.3420
20.600,1.0806
20.651,1.1806
20.702,1.3484
20.753,1.0258
20.805,1.2645
20.856,1.3710
20.907,1.3032
20.958,1.2097
21.009,1.1936
21.060,1.0516
21.112,1.1613
21.163,1.0806
21.215,0.9807
21.269,1.1936
21.320,1.2129
21.371,1.2710
21.422,1.3258
21.473,1.0387
21.526,1.1419
21.577,1.2968
21.629,1.0355
21.680,1.1258
21.731,1.3548
21.783,1.2484
21.834,1.4484
21.885,1.0871
21.936,1.2420
21.987,1.2645
22.038,1.2000
22.093,1.2355
22.145,1.2387
22.196,1.2677
22.249,1.2420
22.301,1.1774
22.352,1.2936
22.403,1.1645
22.454,1.2355
22.505,1.2936
22.556,1.0806
22.607,1.3000
22.658,1.2484
22.709,1.3097
22.760,1.2097
22.812,1.1548
22.863,1.2838
22.914,1.3355
22.966,1.3548
23.017,1.2871
23.068,1.3387
23.120,1.4097
23.171,1.0871
23.222,1.2161
23.273,1.2581
23.324,1.1871
23.375,1.2677
23.427,1.3065
23.478,1.2516
23.529,1.2806
23.581,1.2355
23.632,1.2548
23.683,0.9774
23.734,1.3129
23.786,1.3290
23.837,1.3871
23.888,1.1484
23.940,1.1742
23.991,1.0742
24.042,1.0677
24.093,1.1097
24.144,1.2742
24.198,1.2097
24.249,1.2420
24.301,1.3322
24.352,1.3129
24.404,1.3000
24.455,1.1677
24.506,1.4452
24.558,1.2742
24.609,1.2161
24.662,1.2871
24.713,1.2097
24.764,1.2000
24.815,1.2452
24.866,1.3258
24.917,1.1097
24.969,1.2161
25.020,1.2903
25.071,1.1677
