timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.318,35.53,19.80,1021.68,356020,561.62,3677,19,19,5,-0.078,0.275,9.846,34.500,-22.200,-18.150
1.790,35.54,19.77,1021.68,61988,561.62,3677,19,19,5,-0.118,0.235,9.885,35.250,-21.750,-17.666
3.262,35.55,19.70,1021.68,73964,561.62,3677,19,19,5,-0.118,0.235,9.885,35.250,-22.350,-16.940
4.734,35.56,19.65,1021.68,82522,561.62,3677,19,19,5,-0.118,0.157,9.924,34.950,-22.500,-16.698
6.211,35.57,19.59,1021.69,88201,561.62,3677,19,19,5,-0.078,0.235,9.846,35.250,-22.350,-16.940
7.686,35.58,19.55,1021.68,92442,561.62,3677,16,16,4,-0.078,0.275,9.807,35.550,-22.500,-17.424
9.155,35.58,19.53,1021.68,97992,561.62,3677,19,19,5,-0.118,0.196,9.964,35.400,-23.100,-16.214
10.632,35.58,19.50,1021.67,100326,561.62,3677,16,16,4,-0.118,0.235,9.846,35.400,-23.100,-16.456
12.099,35.59,19.49,1021.68,103014,561.62,3677,19,19,5,-0.196,0.196,9.807,35.400,-22.650,-16.940
13.576,35.59,19.47,1021.67,104660,561.62,3677,19,19,5,-0.078,0.196,9.885,34.800,-23.100,-16.456
15.051,35.58,19.46,1021.67,106040,561.62,3677,19,19,5,-0.157,0.196,9.807,36.000,-22.950,-17.424
16.523,35.56,19.46,1021.67,107523,561.62,3677,16,16,4,-0.118,0.235,9.807,35.100,-23.550,-16.698
17.998,35.54,19.45,1021.68,108779,561.62,3677,16,16,4,-0.196,0.118,10.003,34.950,-22.800,-17.908
19.469,35.51,19.47,1021.67,109929,561.62,3677,19,19,5,-0.118,0.235,9.846,35.100,-22.800,-17.182
20.941,35.48,19.50,1021.67,110616,561.62,3677,16,16,4,-0.078,0.275,10.081,34.500,-23.250,-17.424
22.407,35.45,19.51,1021.67,111805,561.62,3677,16,16,4,-0.118,0.275,9.885,34.500,-23.400,-17.666
23.876,35.42,19.52,1021.68,112516,561.62,3677,19,19,5,-0.196,0.275,9.689,35.250,-23.250,-16.698
25.347,35.39,19.53,1021.68,113164,89.38,5201,8,8,8,-0.078,0.196,9.924,35.250,-22.950,-16.698
26.832,35.39,19.62,1021.68,113236,561.62,3677,16,16,4,-0.078,0.275,9.885,35.700,-23.100,-17.424
28.308,35.28,19.86,1021.66,104722,236.12,3296,11,30,11,-0.078,0.314,9.611,34.650,-22.950,-16.456
29.786,34.94,22.22,1021.65,103436,561.62,3296,30,30,11,-0.157,0.235,9.689,35.250,-23.400,-16.940
31.268,34.74,23.71,1021.66,106809,561.62,3677,16,16,4,-0.118,0.196,9.689,35.100,-23.100,-17.908
