timestamp_seconds,raw
0.064,9.1
0.071,"12849.946,""cm"",340.7"
0.074,"{""SpeedOutputFeature"":""D""}"
2.708,"12875.710,""cmps"",54.6"
2.719,"12875.769,""cm"",349.2"
2.801,"12875.803,""cmps"",63.7"
2.813,"12875.862,""cm"",349.2"
2.894,"12875.896,""cmps"",57.6"
2.906,"12875.955,""cm"",349.2"
2.987,"12875.989,""cmps"",45.5"
2.998,"12876.048,""cm"",332.2"
3.151,"12876.153,""cmps"",48.5"
3.163,"12876.212,""cm"",315.1"
3.243,"12876.246,""cmps"",36.4"
3.255,"12876.305,""cm"",315.1"
3.337,"12876.339,""cmps"",36.4"
3.349,"12876.398,""cm"",315.1"
3.431,"12876.432,""cmps"",39.4"
3.441,"12876.491,""cm"",111.7"
3.523,"12876.525,""cmps"",45.5"
3.534,"12876.584,""cm"",112.0"
3.616,"12876.618,""cmps"",51.6"
3.628,"12876.677,""cm"",119.2"
3.709,"12876.711,""cmps"",72.8"
3.720,"12876.770,""cm"",111.3"
3.802,"12876.804,""cmps"",97.1"
3.814,"12876.864,""cm"",111.6"
3.896,"12876.897,""cmps"",75.8"
3.906,"12876.956,""cm"",332.2"
3.988,"12876.990,""cmps"",66.7"
4.000,"12877.050,""cm"",332.1"
4.084,"12877.084,""cmps"",36.4"
4.092,"12877.143,""cm"",332.1"
4.174,"12877.177,""cmps"",48.5"
4.185,"12877.236,""cm"",340.6"
4.267,"12877.270,""cmps"",51.6"
4.279,"12877.329,""cm"",332.2"
4.359,"12877.363,""cmps"",51.6"
4.371,"12877.422,""cm"",323.6"
4.453,"12877.456,""cmps"",45.5"
4.466,"12877.515,""cm"",111.4"
4.547,"12877.549,""cmps"",36.4"
4.557,"12877.608,""cm"",110.9"
4.639,"12877.642,""cmps"",24.3"
4.650,"12877.701,""cm"",76.6"
4.731,"12877.734,""cmps"",9.1"
4.742,"12877.793,""cm"",68.2"
4.824,"12877.826,""cmps"",9.1"
4.834,"12877.885,""cm"",76.6"
4.916,"12877.918,""cmps"",6.1"
4.925,"12877.977,""cm"",68.2"
5.007,"12878.010,""cmps"",12.1"
5.018,"12878.069,""cm"",68.2"
5.099,"12878.102,""cmps"",12.1"
5.111,"12878.161,""cm"",76.6"
5.192,"12878.194,""cmps"",18.2"
5.202,"12878.253,""cm"",76.6"
5.354,"12878.357,""cmps"",12.1"
5.365,"12878.416,""cm"",111.1"
5.661,"12878.663,""cmps"",-18.2"
5.672,"12878.722,""cm"",110.8"
5.753,"12878.756,""cmps"",-6.1"
5.765,"12878.815,""cm"",110.8"
5.846,"12878.849,""cmps"",-15.2"
5.859,"12878.908,""cm"",111.1"
5.940,"12878.942,""cmps"",-15.2"
5.951,"12878.999,""cm"",110.8"
6.032,"12879.033,""cmps"",-27.3"
6.044,"12879.092,""cm"",76.6"
6.126,"12879.126,""cmps"",-36.4"
6.137,"12879.185,""cm"",332.2"
6.218,"12879.219,""cmps"",-36.4"
6.231,"12879.278,""cm"",332.2"
6.312,"12879.312,""cmps"",-30.3"
6.324,"12879.371,""cm"",110.7"
6.405,"12879.405,""cmps"",-30.3"
6.415,"12879.464,""cm"",340.7"
6.497,"12879.498,""cmps"",-27.3"
6.509,"12879.557,""cm"",349.2"
6.589,"12879.591,""cmps"",9.1"
6.604,"12879.650,""cm"",111.3"
6.682,"12879.683,""cmps"",21.2"
6.694,"12879.742,""cm"",111.2"
6.776,"12879.776,""cmps"",-3.0"
6.786,"12879.835,""cm"",340.6"
6.868,"12879.869,""cmps"",9.1"
6.879,"12879.928,""cm"",340.6"
8.311,"12881.311,""cmps"",-33.4"
8.321,"12881.370,""cm"",349.2"
8.401,"12881.404,""cmps"",3.0"
8.413,"12881.463,""cm"",357.7"
8.494,"12881.496,""cmps"",54.6"
8.505,"12881.556,""cm"",340.7"
8.587,"12881.589,""cmps"",-18.2"
8.599,"12881.648,""cm"",340.6"
8.751,"12881.753,""cmps"",9.1"
8.763,"12881.812,""cm"",332.2"
8.915,"12881.916,""cmps"",-15.2"
8.926,"12881.975,""cm"",340.6"
10.853,"12883.856,""cmps"",18.2"
10.865,"12883.915,""cm"",332.2"
11.018,"12884.020,""cmps"",60.7"
11.028,"12884.079,""cm"",332.1"
13.240,"12886.244,""cmps"",63.7"
13.252,"12886.303,""cm"",340.6"
13.334,"12886.337,""cmps"",51.6"
13.347,"12886.396,""cm"",332.2"
13.427,"12886.430,""cmps"",36.4"
13.438,"12886.489,""cm"",111.4"
13.520,"12886.523,""cmps"",15.2"
13.530,"12886.582,""cm"",111.8"
13.612,"12886.616,""cmps"",9.1"
13.623,"12886.675,""cm"",332.1"
13.704,"12886.708,""cmps"",9.1"
13.715,"12886.767,""cm"",111.5"
13.939,"12886.942,""cmps"",-15.2"
13.951,"12886.999,""cm"",111.5"
14.031,"12887.033,""cmps"",-30.3"
14.043,"12887.092,""cm"",111.5"
14.125,"12887.126,""cmps"",-21.2"
14.136,"12887.185,""cm"",111.3"
14.218,"12887.219,""cmps"",-42.5"
14.229,"12887.279,""cm"",68.2"
14.313,"12887.312,""cmps"",-54.6"
14.323,"12887.373,""cm"",111.2"
14.405,"12887.406,""cmps"",-97.1"
14.416,"12887.466,""cm"",111.1"
14.497,"12887.499,""cmps"",-21.2"
14.509,"12887.558,""cm"",111.3"
