timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.342,35.02,23.05,1018.39,226293,196.33,3931,30,11,11,5.099,5.060,6.708,8.400,-12.600,-6.776
1.818,35.02,23.10,1018.39,20247,280.81,3931,30,30,11,5.099,4.982,6.590,8.550,-12.750,-5.324
3.292,35.01,23.10,1018.39,28612,280.81,3931,30,11,11,5.060,5.060,6.669,8.700,-12.600,-5.324
4.769,35.01,23.08,1018.39,35638,196.33,3677,30,11,11,5.060,5.099,6.590,8.550,-12.750,-4.840
6.242,35.01,23.08,1018.41,41445,280.81,3931,30,11,11,5.060,5.021,6.669,8.250,-13.350,-4.114
7.721,35.03,23.06,1018.41,48151,196.33,3677,30,30,11,5.060,5.021,6.629,8.400,-12.900,-5.082
9.197,35.04,23.07,1018.40,52464,196.33,3677,30,11,11,5.099,5.021,6.590,8.100,-13.050,-5.324
10.669,35.07,23.05,1018.41,55984,196.33,3931,30,30,11,5.099,5.099,6.551,8.400,-12.900,-5.324
12.141,35.10,23.04,1018.41,59728,196.33,3931,30,11,11,5.099,4.982,6.669,8.700,-12.450,-5.082
13.609,35.13,23.01,1018.41,62032,196.33,3931,30,11,11,5.099,5.021,6.551,8.400,-12.300,-4.356
15.080,35.15,22.99,1018.41,64947,196.33,3677,30,30,11,5.139,4.982,6.708,8.700,-12.750,-5.808
16.551,35.17,22.98,1018.42,67014,196.33,3677,30,11,11,5.099,4.982,6.512,8.700,-13.350,-5.082
18.021,35.18,22.97,1018.43,68894,196.33,3931,30,11,11,5.060,5.060,6.669,8.550,-12.750,-4.840
19.501,35.17,22.95,1018.43,70599,196.33,3931,30,11,11,5.099,5.021,6.551,8.400,-12.600,-5.566
20.971,35.15,22.96,1018.43,72036,151.64,3931,30,11,11,5.099,4.982,6.669,8.100,-12.600,-4.840
