timestamp_seconds,raw
0.054,39.4
0.055,"1987.583,""cm"",212.9"
0.057,"{""SpeedOutputFeature"":""D""}"
0.127,"2745.936,""cmps"",9.1"
0.137,"2745.995,""cm"",212.9"
0.231,"2746.027,""cmps"",3.0"
0.235,"2746.086,""cm"",212.9"
0.304,"2746.118,""cmps"",9.1"
0.315,"2746.177,""cm"",112.3"
0.396,"2746.209,""cmps"",3.0"
0.406,"2746.268,""cm"",112.1"
0.486,"2746.300,""cmps"",6.1"
0.497,"2746.359,""cm"",59.6"
0.578,"2746.391,""cmps"",6.1"
0.588,"2746.450,""cm"",59.7"
0.668,"2746.482,""cmps"",9.1"
0.679,"2746.541,""cm"",59.7"
0.759,"2746.573,""cmps"",6.1"
0.770,"2746.632,""cm"",68.1"
0.850,"2746.664,""cmps"",6.1"
0.860,"2746.723,""cm"",59.7"
1.013,"2746.826,""cmps"",-15.2"
1.024,"2746.885,""cm"",59.7"
1.105,"2746.918,""cmps"",-15.2"
1.116,"2746.977,""cm"",111.5"
1.196,"2747.008,""cmps"",-45.5"
1.208,"2747.067,""cm"",111.7"
1.289,"2747.100,""cmps"",12.1"
1.299,"2747.159,""cm"",340.7"
1.381,"2747.192,""cmps"",-24.3"
1.391,"2747.251,""cm"",68.2"
1.477,"2747.284,""cmps"",-33.4"
1.487,"2747.347,""cm"",68.1"
1.570,"2747.380,""cmps"",-42.5"
1.582,"2747.440,""cm"",68.1"
1.672,"2747.473,""cmps"",-63.7"
1.681,"2747.541,""cm"",68.1"
1.771,"2747.573,""cmps"",-63.7"
1.782,"2747.642,""cm"",68.2"
1.864,"2747.674,""cmps"",-51.6"
1.880,"2747.734,""cm"",68.1"
1.956,"2747.766,""cmps"",-45.5"
1.968,"2747.825,""cm"",68.1"
2.047,"2747.858,""cmps"",-51.6"
2.057,"2747.917,""cm"",68.1"
2.139,"2747.950,""cmps"",-39.4"
2.150,"2748.010,""cm"",68.2"
2.231,"2748.043,""cmps"",-48.5"
2.242,"2748.102,""cm"",76.7"
2.322,"2748.135,""cmps"",-51.6"
2.333,"2748.194,""cm"",76.6"
2.417,"2748.227,""cmps"",-66.7"
2.426,"2748.286,""cm"",110.8"
2.508,"2748.319,""cmps"",-66.7"
2.520,"2748.379,""cm"",110.9"
2.599,"2748.411,""cmps"",-69.8"
2.610,"2748.471,""cm"",111.1"
2.692,"2748.503,""cmps"",-57.6"
2.708,"2748.562,""cm"",272.5"
2.784,"2748.595,""cmps"",-45.5"
2.795,"2748.654,""cm"",264.0"
2.875,"2748.687,""cmps"",-45.5"
2.886,"2748.746,""cm"",119.2"
2.967,"2748.779,""cmps"",-39.4"
2.978,"2748.838,""cm"",111.1"
3.059,"2748.871,""cmps"",-66.7"
3.070,"2748.930,""cm"",127.7"
3.151,"2748.963,""cmps"",-51.6"
3.162,"2749.022,""cm"",136.3"
3.243,"2749.055,""cmps"",-42.5"
3.254,"2749.114,""cm"",281.0"
3.335,"2749.147,""cmps"",-30.3"
3.346,"2749.206,""cm"",272.6"
3.432,"2749.239,""cmps"",-27.3"
3.438,"2749.298,""cm"",272.6"
3.520,"2749.331,""cmps"",-30.3"
3.530,"2749.390,""cm"",281.0"
3.612,"2749.423,""cmps"",-27.3"
3.622,"2749.482,""cm"",289.5"
3.703,"2749.515,""cmps"",-24.3"
3.715,"2749.574,""cm"",281.1"
3.795,"2749.607,""cmps"",-30.3"
3.807,"2749.666,""cm"",289.6"
3.886,"2749.699,""cmps"",6.1"
3.897,"2749.758,""cm"",289.6"
3.977,"2749.790,""cmps"",9.1"
3.988,"2749.849,""cm"",289.6"
4.068,"2749.951,""cmps"",6.1"
4.079,"2749.940,""cm"",298.1"
6.149,"2751.961,""cmps"",-294.3"
6.160,"2752.020,""cm"",298.1"
6.668,"2752.480,""cmps"",163.8"
6.678,"2752.539,""cm"",298.1"
6.759,"2752.572,""cmps"",15.2"
6.770,"2752.631,""cm"",298.1"
6.852,"2752.664,""cmps"",75.8"
6.869,"2752.723,""cm"",289.6"
6.942,"2752.756,""cmps"",60.7"
6.954,"2752.815,""cm"",298.1"
7.034,"2752.848,""cmps"",27.3"
7.046,"2752.907,""cm"",306.6"
7.129,"2752.940,""cmps"",-151.7"
7.139,"2753.001,""cm"",289.6"
7.292,"2753.105,""cmps"",9.1"
7.306,"2753.164,""cm"",272.6"
7.382,"2753.196,""cmps"",21.2"
7.393,"2753.255,""cm"",272.6"
7.473,"2753.288,""cmps"",9.1"
7.485,"2753.347,""cm"",272.5"
10.618,"2756.431,""cmps"",72.8"
10.630,"2756.490,""cm"",298.1"
11.137,"2756.949,""cmps"",27.3"
