timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.413,35.14,23.43,1016.68,260733,561.62,3677,19,19,5,-0.628,-0.118,9.767,21.300,-10.050,-15.004
1.881,35.15,23.39,1016.68,17716,561.62,3677,19,19,5,-0.667,-0.235,9.807,20.700,-9.300,-15.972
3.350,35.16,23.34,1016.68,25675,561.62,3677,19,19,5,-0.706,-0.157,9.846,20.850,-10.050,-15.730
4.816,35.19,23.27,1016.69,33057,561.62,3677,19,19,5,-0.588,-0.196,9.767,21.150,-9.750,-15.972
6.298,35.21,23.20,1016.69,39662,561.62,3677,19,19,5,-0.706,-0.118,9.807,21.000,-9.150,-15.488
7.784,35.24,23.16,1016.70,45212,561.62,3677,19,19,5,-0.667,-0.157,9.728,20.700,-9.750,-15.488
9.261,35.26,23.11,1016.70,52216,561.62,3677,19,19,5,-0.706,-0.157,9.807,20.850,-9.750,-15.488
10.730,35.28,23.09,1016.70,56775,561.62,3677,19,19,5,-0.628,-0.157,9.728,20.700,-9.900,-15.246
12.207,35.30,23.05,1016.70,61005,561.62,3677,19,19,5,-0.667,-0.118,9.689,20.700,-9.750,-15.730
13.692,35.30,23.02,1016.70,64568,561.62,3677,19,19,5,-0.628,-0.157,9.689,21.000,-9.900,-15.246
15.166,35.31,23.00,1016.71,67578,561.62,3677,19,19,5,-0.628,-0.157,9.767,21.000,-9.450,-15.246
16.637,35.32,23.00,1016.70,70768,561.62,3677,19,19,5,-0.667,-0.157,9.728,20.700,-10.050,-15.730
18.109,35.33,22.99,1016.71,73290,561.62,3677,19,19,5,-0.588,-0.118,9.611,21.000,-9.300,-15.004
19.574,35.34,22.95,1016.71,75673,561.62,3677,19,19,5,-0.628,-0.196,9.885,20.550,-10.050,-16.214
21.049,35.35,22.93,1016.71,77872,561.62,3677,19,19,5,-0.667,-0.157,9.767,20.850,-9.750,-15.730
22.523,35.35,22.92,1016.71,79840,561.62,3677,19,19,5,-0.706,-0.235,9.964,20.400,-9.900,-15.730
24.006,35.35,22.92,1016.72,81533,561.62,3677,19,19,5,-0.628,-0.157,9.767,20.700,-9.600,-15.972
25.492,35.34,22.93,1016.72,83143,561.62,3677,19,19,5,-0.628,-0.235,9.767,20.700,-9.900,-15.246
26.966,35.34,22.93,1016.71,84899,561.62,3677,19,19,5,-0.706,-0.157,9.807,20.850,-9.600,-15.972
28.444,35.34,22.93,1016.71,86731,561.62,3677,19,19,5,-0.667,-0.078,9.807,21.000,-9.600,-15.972
29.929,35.35,22.93,1016.71,88026,561.62,3677,19,19,5,-0.706,-0.118,9.846,20.700,-9.450,-15.972
31.408,35.36,22.94,1016.71,89000,561.62,3677,19,19,5,-0.628,-0.157,9.846,20.700,-9.600,-15.730
