timestamp_seconds,voltage
0.017,1.1226
0.054,1.3581
0.101,1.2613
0.150,1.0935
0.201,1.0323
0.262,1.2065
0.300,1.2290
0.350,1.3065
0.400,1.1387
0.450,1.1355
0.500,1.1677
0.550,1.4226
0.600,1.3548
0.650,1.4935
0.700,1.2516
0.750,1.4161
0.800,1.3677
0.850,1.3258
0.900,1.2161
0.950,1.1968
1.000,1.1419
1.050,1.2839
1.100,1.0548
1.150,1.1129
1.200,1.1581
1.250,1.2677
1.300,1.3387
1.350,1.2774
1.400,0.8935
1.450,1.1645
1.500,1.1129
1.550,1.4000
1.600,1.2613
1.650,1.2710
1.700,1.1839
1.750,1.2742
1.800,1.1935
1.850,1.1677
1.900,1.3065
1.950,1.2226
2.000,1.1903
2.050,0.9839
2.100,1.1129
2.150,1.3323
2.200,1.4129
2.250,1.2290
2.300,1.0290
2.350,1.0581
2.400,1.1935
2.450,1.0452
2.500,1.1000
2.550,1.2484
2.600,1.2839
2.650,1.0161
2.700,1.3290
2.750,1.4129
2.800,1.4194
2.850,1.5323
2.900,1.1323
2.950,1.1484
3.000,1.3935
3.050,1.1968
3.100,1.2613
3.150,1.3000
3.200,1.1968
3.250,1.3194
3.300,1.1355
3.350,1.2226
3.400,1.3774
3.450,1.0419
3.500,1.2613
3.550,1.2387
3.600,1.2935
3.650,1.2452
3.700,1.3226
3.750,1.0581
3.800,1.0419
3.850,1.1452
3.900,1.0194
3.950,1.2290
4.000,1.1032
4.050,1.3194
4.100,1.3742
4.150,1.4452
4.200,1.3323
4.250,1.4097
4.300,1.4968
4.350,1.2581
4.400,1.2419
4.450,1.2742
4.500,1.2871
4.550,0.9774
4.600,1.1548
4.650,1.1935
4.700,1.2097
4.750,1.0871
4.800,1.2355
4.850,1.0419
4.900,1.0452
4.950,1.3290
5.000,1.1452
5.050,1.1839
5.100,1.5258
5.150,1.4323
5.200,1.3323
5.250,1.5839
5.300,1.2645
5.350,1.1097
5.400,1.2129
5.450,1.2194
5.500,1.1677
5.550,1.3516
5.600,1.2742
5.650,0.9677
5.700,1.3226
5.750,1.2871
5.800,1.2419
5.850,1.0613
5.900,1.0710
5.950,1.2258
6.000,1.3742
6.050,1.1290
6.100,0.9226
6.150,1.3871
6.200,1.4355
6.250,1.1581
6.301,1.0387
6.350,1.5129
6.400,1.5516
6.450,1.3097
6.500,1.4355
6.550,1.4000
6.600,1.2516
6.650,1.1355
6.700,1.6710
6.750,1.2903
6.800,1.3129
6.850,1.1387
6.900,1.2710
6.950,1.2613
7.000,1.0419
7.050,1.1645
7.100,1.1226
7.150,1.1548
7.200,1.0839
7.250,1.2290
7.300,1.1774
7.350,1.1774
7.400,1.2323
7.450,1.0452
7.500,0.9290
7.550,1.1387
7.600,1.3226
7.650,1.2968
7.700,1.2452
7.750,1.3581
7.800,1.2774
7.850,1.2161
7.900,1.3419
7.950,1.1839
8.004,1.0419
8.050,1.2903
8.100,1.1613
8.150,1.2742
8.200,1.2645
8.250,1.2226
8.300,1.2194
8.350,1.1903
8.400,1.2226
8.450,1.2226
8.500,1.2839
8.550,1.2097
8.600,1.5452
8.650,1.2258
8.700,1.3871
8.750,1.2484
8.800,1.2613
8.850,1.2516
8.900,1.2290
8.950,1.2355
9.000,1.2645
9.050,1.2484
9.100,1.4871
9.150,1.2065
9.200,1.2742
9.250,1.2194
9.300,1.2452
9.350,1.2194
9.400,1.2194
9.450,1.2032
9.500,0.9226
9.550,1.2452
9.600,1.2355
9.650,1.2581
9.700,1.2226
9.750,1.2290
9.800,1.2194
9.850,1.4161
9.900,1.3710
9.950,1.2742
10.000,1.2000
10.050,1.2710
10.100,1.2613
10.150,1.2710
10.200,1.2194
10.250,1.1903
10.300,1.2194
10.350,1.2032
10.400,1.2032
10.450,1.3097
10.500,1.2032
10.550,1.1968
10.600,1.1581
10.650,1.5129
10.700,0.8226
10.750,1.3871
10.800,1.3387
10.850,0.7742
10.900,1.1710
10.950,1.2935
11.000,1.2516
11.050,1.2677
11.100,1.3871
11.150,1.1387
11.200,1.4903
11.250,0.7968
11.300,1.4226
11.350,1.4323
11.400,1.4065
11.450,1.2226
11.500,1.2903
11.550,1.4774
11.600,1.2742
11.650,1.0774
11.700,1.3452
11.750,1.2871
11.800,1.1742
11.850,0.8516
11.900,1.0968
11.950,1.1129
12.000,1.3871
12.050,1.1419
12.100,1.2161
12.150,1.2226
12.200,1.3742
12.250,1.2839
12.300,1.3452
12.350,1.2968
12.400,1.2129
12.450,1.2194
12.500,1.3065
12.550,1.2581
12.600,1.3129
12.650,1.3387
12.700,1.1484
12.750,1.2742
12.800,1.3097
12.850,1.3323
12.900,1.2484
12.950,1.1839
13.000,0.9903
13.050,0.9581
13.100,1.3032
13.150,1.1161
13.200,1.1290
13.250,1.2258
13.300,1.3065
13.350,1.2419
13.400,1.3226
13.450,0.9903
13.500,1.1710
13.550,1.3258
13.600,1.4129
13.650,1.4452
13.700,1.3613
13.750,1.2194
13.800,1.4613
13.850,1.2581
13.900,1.1839
13.950,1.2258
14.000,1.3194
14.050,1.1097
14.100,1.2581
14.150,1.1323
14.200,1.3613
14.250,1.3871
14.300,1.3581
14.350,1.0742
14.400,1.1516
14.450,1.1742
14.500,1.3323
14.550,1.2065
14.600,1.2806
14.650,1.2774
14.700,1.2613
14.750,1.3548
14.800,1.1226
14.850,1.3935
14.900,1.3613
14.950,1.4355
15.000,1.3968
15.050,1.4097
15.100,1.3032
15.150,1.2968
15.200,1.3323
15.250,1.2903
15.300,1.1355
15.350,1.1290
15.400,1.3065
15.450,1.2032
15.500,1.2516
15.550,1.3032
15.600,1.2355
15.650,1.3258
15.700,1.1226
15.750,1.4290
15.800,1.2355
15.850,1.3516
15.900,1.2613
15.950,1.1839
16.000,1.3452
16.050,1.2000
16.100,1.5097
16.150,1.1419
16.200,1.3290
16.250,0.9839
16.300,1.3806
16.350,0.9710
16.400,1.3290
16.450,1.3097
16.500,1.1323
16.550,1.2355
16.600,1.1032
16.650,1.1000
16.700,1.1226
16.750,1.3484
16.800,1.2839
16.850,1.2484
16.900,1.3355
16.950,1.4516
17.000,1.0903
17.050,1.2226
17.100,1.1290
17.150,1.1742
17.200,1.4194
17.250,1.5774
17.300,1.4226
17.350,1.2290
17.400,1.3161
17.450,1.2194
17.500,1.2935
17.550,1.3258
17.600,1.3032
17.650,1.0581
17.700,1.3742
17.750,1.1000
17.800,1.0935
17.850,1.1484
17.900,1.2097
17.950,1.3355
18.000,1.1742
18.050,1.1129
18.100,1.2065
