timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.361,40.88,18.96,1020.12,62250,360.63,2915,35,9,3,0.000,0.196,9.807,24.300,18.600,-17.666
1.831,40.89,18.93,1020.12,26022,360.63,2915,45,12,4,0.078,0.196,9.807,23.550,18.150,-17.424
3.310,40.92,18.86,1020.12,30568,360.63,2915,45,12,4,0.039,0.157,9.767,23.550,18.300,-18.392
4.782,40.96,18.78,1020.12,34180,360.63,2915,35,9,3,0.078,0.157,9.846,23.400,17.700,-18.392
6.252,41.00,18.72,1020.12,36763,360.63,2915,45,12,4,0.039,0.118,9.807,23.700,18.150,-18.392
7.727,41.04,18.67,1020.11,39627,360.63,2915,45,12,4,0.000,0.196,9.807,23.850,17.700,-18.150
9.213,41.08,18.62,1020.10,41876,360.63,2915,45,12,4,0.078,0.118,9.767,23.700,18.600,-18.392
10.693,41.12,18.58,1020.10,44131,360.63,2915,45,12,4,0.078,0.039,9.571,23.400,18.300,-18.392
