timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.333,35.52,22.98,1017.08,250047,579.18,3296,19,19,5,-1.255,-0.510,9.689,29.250,-3.300,-3.872
1.804,35.54,22.95,1017.08,52526,579.18,3296,30,19,5,-1.294,-0.471,9.689,29.400,-3.450,-5.566
3.283,35.58,22.86,1017.07,61772,579.18,3296,30,19,5,-1.177,-0.471,9.689,29.400,-4.050,-5.082
4.749,35.60,22.77,1017.08,67889,579.18,3296,30,19,5,-1.216,-0.471,9.689,29.250,-3.300,-4.356
6.216,35.61,22.69,1017.07,72154,579.18,3296,30,19,5,-1.294,-0.471,9.767,29.400,-3.750,-4.598
7.690,35.61,22.64,1017.08,75415,579.18,3296,30,19,5,-1.255,-0.549,9.767,29.250,-3.300,-4.598
9.160,35.62,22.62,1017.07,77667,579.18,3296,30,19,5,-1.020,-0.275,9.571,29.100,-3.450,-4.356
10.635,35.61,22.58,1017.07,79768,579.18,3296,25,16,4,-1.294,-0.510,9.767,29.400,-3.450,-4.114
12.122,35.61,22.58,1017.06,81383,579.18,3296,30,19,5,-1.255,-0.431,9.689,28.950,-3.900,-3.872
13.593,35.60,22.59,1017.07,83143,472.23,3677,19,19,5,-1.255,-0.549,9.689,28.950,-3.450,-4.840
15.077,35.60,22.57,1017.07,84655,280.81,5201,11,30,11,-1.294,-0.510,9.767,29.550,-3.600,-4.598
16.550,35.59,22.56,1017.07,85972,307.93,3296,11,11,1,-1.216,-0.510,9.650,28.950,-3.600,-4.840
18.025,35.60,22.58,1017.07,86987,307.93,5201,11,30,11,-1.373,-0.471,9.728,28.950,-3.300,-4.598
19.496,35.62,22.58,1017.07,87763,325.50,3931,22,22,8,-1.255,-0.471,9.728,29.400,-3.450,-6.292
20.965,35.63,22.56,1017.07,88911,325.50,3931,16,16,5,-1.255,-0.510,9.689,29.100,-3.600,-4.598
22.439,35.63,22.55,1017.07,89996,307.93,5201,30,30,11,-1.255,-0.471,9.650,29.250,-3.750,-4.114
23.906,35.64,22.56,1017.07,90921,325.50,3931,22,22,8,-1.334,-0.510,9.767,29.700,-4.050,-4.356
25.378,35.65,22.54,1017.07,91771,325.50,3931,16,16,5,-1.255,-0.549,9.807,29.400,-3.600,-4.598
