timestamp_seconds,raw
0.073,"{""SpeedOutputFeature"":""D""}"
0.145,"921.145,""cmps"",6.1"
0.155,"921.204,""cm"",272.6"
0.514,"921.519,""cmps"",48.5"
0.525,"921.578,""cm"",281.0"
0.819,"921.823,""cmps"",-63.7"
0.830,"921.882,""cm"",281.1"
0.910,"921.914,""cmps"",-33.4"
0.920,"921.973,""cm"",281.1"
1.001,"922.006,""cmps"",-51.6"
1.011,"922.065,""cm"",281.1"
1.092,"922.097,""cmps"",-69.8"
1.101,"922.156,""cm"",68.1"
1.183,"922.188,""cmps"",-84.9"
1.193,"922.248,""cm"",111.4"
1.274,"922.279,""cmps"",-84.9"
1.283,"922.338,""cm"",76.6"
1.365,"922.370,""cmps"",-78.9"
1.375,"922.429,""cm"",110.9"
1.456,"922.461,""cmps"",-72.8"
1.467,"922.520,""cm"",111.1"
1.546,"922.552,""cmps"",-66.7"
1.557,"922.611,""cm"",111.3"
1.638,"922.643,""cmps"",-100.1"
1.649,"922.703,""cm"",111.0"
1.729,"922.735,""cmps"",-94.0"
1.740,"922.795,""cm"",111.2"
1.821,"922.826,""cmps"",-63.7"
1.834,"922.885,""cm"",111.1"
1.912,"922.917,""cmps"",-84.9"
1.924,"922.977,""cm"",144.8"
2.009,"923.008,""cmps"",-51.6"
2.014,"923.068,""cm"",153.3"
2.094,"923.099,""cmps"",-115.3"
2.104,"923.159,""cm"",247.0"
2.186,"923.191,""cmps"",-69.8"
2.205,"923.250,""cm"",264.1"
2.277,"923.282,""cmps"",-63.7"
2.289,"923.342,""cm"",272.5"
2.368,"923.373,""cmps"",-48.5"
2.378,"923.432,""cm"",272.6"
2.459,"923.464,""cmps"",-60.7"
2.469,"923.523,""cm"",298.1"
2.550,"923.555,""cmps"",-24.3"
2.560,"923.614,""cm"",289.6"
2.643,"923.646,""cmps"",-21.2"
2.652,"923.705,""cm"",289.5"
2.731,"923.737,""cmps"",6.1"
2.741,"923.796,""cm"",289.6"
3.532,"924.535,""cmps"",39.4"
