timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.376,35.14,23.36,1017.03,202804,579.18,3296,25,16,4,-1.255,-0.471,9.728,28.950,-3.300,-5.324
1.851,35.16,23.32,1017.04,13923,579.18,3296,30,19,5,-1.255,-0.549,9.728,28.500,-4.050,-4.840
3.323,35.19,23.25,1017.03,19259,579.18,3296,30,19,5,-1.255,-0.510,9.807,29.400,-3.900,-4.598
4.799,35.22,23.18,1017.04,25930,579.18,3296,25,16,4,-1.216,-0.471,9.650,29.400,-3.750,-5.082
6.270,35.24,23.11,1017.04,31684,579.18,3296,25,16,4,-1.255,-0.431,9.689,29.400,-3.600,-4.598
7.753,35.26,23.04,1017.04,36581,579.18,3296,30,19,5,-1.294,-0.510,9.728,29.250,-4.050,-4.598
9.238,35.27,23.01,1017.04,41022,579.18,3296,30,19,5,-1.216,-0.549,9.650,28.800,-3.750,-4.114
10.703,35.28,22.97,1017.04,44620,579.18,3296,30,19,5,-1.255,-0.471,9.650,29.400,-3.750,-4.598
12.178,35.31,22.95,1017.04,50087,579.18,3296,30,19,5,-1.255,-0.510,9.728,29.100,-3.750,-4.356
13.655,35.34,22.94,1017.04,53286,579.18,3296,25,16,4,-1.294,-0.431,9.767,29.400,-3.600,-5.566
15.130,35.36,22.91,1017.05,56162,579.18,3296,25,16,4,-1.216,-0.471,9.728,29.250,-3.750,-4.598
16.598,35.36,22.88,1017.04,58971,579.18,3296,30,19,5,-1.177,-0.471,9.571,29.400,-3.450,-4.598
18.070,35.37,22.86,1017.05,61557,579.18,3296,25,16,4,-1.294,-0.588,9.728,29.250,-3.750,-4.598
19.548,35.37,22.84,1017.04,63730,561.62,3677,19,19,5,-1.216,-0.510,9.767,29.100,-3.600,-4.356
21.026,35.38,22.84,1017.05,65720,579.18,3296,23,23,6,-1.216,-0.510,9.728,29.550,-4.050,-4.114
22.505,35.40,22.82,1017.06,67889,579.18,3296,30,19,5,-1.138,-0.510,9.728,29.100,-3.750,-4.356
23.982,35.40,22.82,1017.05,69271,579.18,3677,30,19,5,-1.255,-0.431,9.728,29.100,-3.750,-5.324
25.459,35.41,22.85,1017.05,70882,579.18,3296,30,19,5,-1.294,-0.471,9.767,29.400,-3.450,-4.114
26.946,35.43,22.87,1017.07,72628,579.18,3296,30,19,5,-1.255,-0.510,9.767,28.950,-3.750,-4.598
28.416,35.42,22.84,1017.06,74088,579.18,3296,30,19,5,-1.294,-0.471,9.807,29.400,-3.150,-4.840
29.900,35.41,22.82,1017.06,75544,579.18,3296,25,16,4,-1.255,-0.471,9.650,28.950,-4.050,-4.356
31.376,35.43,22.81,1017.06,76924,579.18,3296,25,16,4,-1.177,-0.510,9.728,29.250,-3.450,-5.082
