timestamp_seconds,voltage
0.009,1.1968
0.054,1.1194
0.100,1.3774
0.150,1.2871
0.200,0.8161
0.252,1.0323
0.301,1.1548
0.351,1.3645
0.400,1.1258
0.450,1.3097
0.500,1.1355
0.550,1.4226
0.600,1.3065
0.650,1.0742
0.700,1.1194
0.750,1.2355
0.801,1.4194
0.850,1.4000
0.900,1.1774
0.950,0.9806
1.000,1.2419
1.050,1.0097
1.100,1.1935
1.150,1.1129
1.200,1.0903
1.250,1.2548
1.300,1.3097
1.350,1.2742
1.400,1.3581
1.450,1.2419
1.500,0.9032
1.550,1.3258
1.600,1.4290
1.650,1.3903
1.700,1.3710
1.750,1.3000
1.800,1.1903
1.850,1.2903
1.900,0.7645
1.950,1.4935
2.000,1.3806
2.050,1.1710
2.100,1.2581
2.150,1.4065
2.200,1.1097
2.250,1.2742
2.300,1.2484
2.350,1.2129
2.400,1.2903
2.450,1.0484
2.500,1.1484
2.550,1.2613
2.600,1.1258
2.650,1.1000
2.700,1.0806
2.750,1.2484
2.800,1.4387
2.850,1.1355
2.900,1.2129
2.950,1.2742
3.000,1.1065
3.050,1.3419
3.100,1.3645
3.150,1.2097
3.200,1.2452
3.250,1.2935
3.300,1.2258
3.350,1.3839
3.400,1.1806
3.450,1.0677
3.500,1.2871
3.550,1.3032
3.600,1.1323
3.650,1.4129
3.700,1.2839
3.750,1.4194
3.800,1.1355
3.850,1.2419
3.900,1.2161
3.950,1.2806
4.000,1.1065
4.050,1.2710
4.100,1.6387
4.150,1.2871
4.200,0.8839
4.250,1.2839
4.300,1.2387
4.350,1.2161
4.400,1.2419
4.450,1.5419
4.500,1.3355
4.550,1.3645
4.600,1.1645
4.650,1.2968
4.700,1.3613
4.750,1.3032
4.800,1.3452
4.850,1.1161
4.900,1.5065
4.950,1.3903
5.000,1.2968
5.051,1.1613
5.100,1.2194
5.150,1.4194
5.200,1.1968
5.250,1.2581
5.300,1.3548
5.350,1.1581
5.400,1.1613
5.450,1.0581
5.500,1.7065
5.550,1.1065
5.600,1.4258
5.650,1.2452
5.700,1.3935
5.750,1.4323
5.800,1.0903
5.850,1.3161
5.900,1.1226
5.950,1.5581
6.000,0.9613
6.051,1.3452
6.100,1.2226
6.150,1.2226
6.200,1.1613
6.250,1.4484
6.300,0.9903
6.350,1.1871
6.400,1.2645
6.450,1.3677
6.500,1.3258
6.550,0.9677
6.600,1.0968
6.650,1.0355
6.700,1.4387
6.750,1.1516
6.800,1.1000
6.850,1.2806
6.900,1.1839
6.950,1.3129
7.000,1.4065
7.050,1.0871
7.105,1.0323
7.150,1.3194
7.200,1.1806
7.251,1.0419
7.300,1.4097
7.350,0.9806
7.400,1.0742
7.450,1.1677
7.500,1.3935
7.550,1.5290
7.600,1.3065
7.650,1.2323
7.700,1.2645
7.750,1.2065
7.800,1.1065
7.850,1.0774
7.900,1.3774
7.950,1.2355
8.003,1.4387
8.051,1.1968
8.100,1.5419
8.150,1.4226
8.201,1.3710
8.250,1.1258
8.300,1.2097
8.350,1.0806
8.400,1.3742
8.450,1.2613
8.500,1.4032
8.550,1.1516
8.600,1.3097
8.650,1.1677
8.700,1.1258
8.750,1.5000
8.800,1.3194
8.850,1.5323
8.900,1.1581
8.950,1.0839
9.000,1.3581
9.050,1.0581
9.104,1.1806
9.150,1.3935
9.200,1.4323
9.250,1.2742
9.300,1.3355
9.350,1.1194
9.400,1.1516
9.450,1.3387
9.500,1.1387
9.550,1.2839
9.600,1.1194
9.650,1.0871
9.700,1.2419
9.750,1.2548
9.800,1.0258
9.850,1.3355
9.900,1.4613
9.950,1.3355
10.000,1.2903
