timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.391,40.77,19.15,1020.10,34473,236.12,3296,45,8,8,0.275,-0.471,9.571,23.850,18.450,-19.118
1.873,40.78,19.09,1020.10,8954,360.63,2661,16,16,16,0.039,0.157,9.846,23.700,18.150,-18.634
3.370,40.79,19.01,1020.11,13319,360.63,2915,45,12,4,0.000,0.196,9.767,23.850,18.000,-17.908
4.853,40.80,18.91,1020.11,17126,360.63,2915,45,12,4,0.000,0.157,9.689,22.950,17.850,-17.908
6.365,40.82,18.87,1020.11,20741,360.63,2915,45,12,4,0.000,0.118,9.767,23.700,17.850,-18.150
7.856,40.84,18.82,1020.11,24951,360.63,2915,45,12,4,0.157,0.275,9.728,23.400,17.850,-18.634
9.348,40.86,18.77,1020.11,28104,360.63,2915,45,12,4,0.118,0.000,9.728,23.400,18.000,-18.150
