timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.309,36.43,22.18,1016.76,364605,561.62,3677,19,19,5,-1.059,-0.863,9.689,30.450,-14.400,-16.214
1.775,36.45,22.15,1016.75,66510,561.62,3677,19,19,5,-1.098,-0.863,9.807,30.300,-14.250,-17.424
3.247,36.47,22.08,1016.75,78009,561.62,3677,19,19,5,-1.098,-0.863,9.650,29.850,-13.950,-17.182
4.717,36.48,22.01,1016.75,85639,561.62,3677,19,19,5,-1.059,-0.785,9.767,30.150,-14.250,-17.182
6.199,36.48,21.97,1016.74,90735,561.62,3677,19,19,5,-1.020,-0.785,9.728,30.000,-14.700,-16.698
7.675,36.48,21.93,1016.74,96495,561.62,3677,19,19,5,-1.020,-0.863,9.650,29.850,-14.700,-17.182
9.149,36.48,21.90,1016.73,99760,561.62,3677,19,19,5,-1.059,-0.824,9.650,30.150,-14.400,-16.698
10.643,36.48,21.89,1016.74,101594,561.62,3677,19,19,5,-1.020,-0.824,9.689,30.300,-14.250,-17.666
12.126,36.49,21.87,1016.74,104536,561.62,3677,19,19,5,-1.020,-0.902,9.767,30.150,-13.950,-16.940
13.607,36.48,21.85,1016.73,106167,561.62,3677,19,19,5,-1.020,-0.902,9.611,30.000,-14.400,-16.456
15.086,36.48,21.84,1016.73,107392,561.62,3677,19,19,5,-1.020,-0.902,9.728,30.150,-14.550,-16.456
16.567,36.49,21.85,1016.73,108712,561.62,3677,19,19,5,-1.059,-0.863,9.767,30.150,-14.250,-15.972
18.037,36.49,21.85,1016.73,110340,561.62,3677,19,19,5,-0.981,-0.824,9.571,30.000,-13.950,-17.424
19.505,36.51,21.85,1016.73,110963,561.62,3677,19,19,5,-1.020,-0.863,9.611,30.150,-13.950,-16.940
20.975,36.54,21.86,1016.72,111593,561.62,3677,19,19,5,-1.059,-0.824,9.728,30.300,-14.400,-17.908
22.447,36.57,21.83,1016.72,113164,561.62,3677,19,19,5,-1.059,-0.824,9.689,30.000,-13.950,-16.456
23.917,36.60,21.82,1016.72,114482,561.62,3677,19,19,5,-1.020,-0.863,9.689,29.850,-14.400,-16.456
25.385,36.63,21.79,1016.71,114482,561.62,3677,19,19,5,-1.059,-0.785,9.728,29.850,-14.100,-16.698
26.862,36.66,21.78,1016.71,115078,561.62,3677,19,19,5,-1.059,-0.902,9.767,30.150,-14.550,-16.940
28.329,36.70,21.74,1016.72,115908,561.62,3677,19,19,5,-0.981,-0.902,9.767,30.300,-13.950,-16.456
29.808,36.75,21.72,1016.72,116981,561.62,3677,19,19,5,-1.020,-0.863,9.611,30.000,-14.400,-17.182
31.275,36.79,21.69,1016.72,117213,561.62,3677,19,19,5,-1.020,-0.824,9.689,30.000,-13.950,-16.456
